,famer_product_name,dimensions dxl,dimensions wxhxd,dimensions,dimensions w x h x d,dimension,approx dimensions width x height x depth,camera dimensions wxhxd,dimensions  weight,dimensions diam x length,dimensions lxwxh,housing dimensions wxhxd,dimensions_dimensions_dxl,dimensions_dxl_depth,dimensions_dxl_length,dimensions_wxhxd_second_column_width,dimensions_wxhxd_second_column_height,dimensions_wxhxd_second_column_depth,unit,dimensions_third_column_width,dimensions_third_column_height,dimensions_third_column_depth,third_column_unit,dimensions_fourth_column_width,dimensions_fourth_column_height,dimensions_fourth_column_depth,fourth_column_unit,dimensions_funf_column_width,dimensions_funf_column_height,dimensions_funf_column_depth,funf_column_unit,extracted_width,extracted_height,extracted_width_cm,extracted_height_cm
499,nikond5200,,,,Approx. 129 x 98 x 78 mm/5.1 x 3.9 x 3.1 in.,,,,,,,,,,,,,,,,,,,129 mm,98 mm,78,mm,,,,,129 mm,98 mm,12.9,9.8
508,nikoncoolpixl27,,3.8 x 2.4 x 1.2 in. (95.4 x 59.8 x 29mm),,,,,,,,,,,,,95.4 mm),59.8 mm),29,mm),,,,,,,,,,,,,95.4 mm),59.8 mm),9.540000000000001,5.9799999999999995
622,sonycybershotsuperzoomdsch400,,5.1 x 3.7 x 4.8 in. (130 x 95 x 122mm),,,,,,,,,,,,,130 mm),95 mm),122,mm),,,,,,,,,,,,,130 mm),95 mm),13.0,9.5
673,sonycybershotdscwx80,,"3.6 x 2.1 x 0.9"" (92.3 x 52.5 x 22.5mm)",,,,,,,,,,,,,92.3 mm),52.5 mm),22.5,mm),,,,,,,,,,,,,92.3 mm),52.5 mm),9.23,5.25
860,canonpowershotsx60,,"5.0 x 3.6 x 4.5"" / 12.7 x 9.1 x 11.4 cm",,,,,,,,,,,,,12.7 cm,9.1 cm,11.4,cm,,,,,,,,,,,,,12.7 cm,9.1 cm,12.7,9.1
1033,nikoncoolpixl620,,4.3 x 2.7 x 1.3 in. (108.3 x 68.7 x 34.1mm) (excluding projections),,,,,,,,,,,,,108.3 mm) (excluding projections),68.7 mm) (excluding projections),34.1,mm) (excluding projections),,,,,,,,,,,,,108.3 mm) (excluding projections),68.7 mm) (excluding projections),10.83,6.87
1102,nikond7100,,5.3 x 4.2 x 3.0 in. (135.5 x 106.5 x 76mm),,,,,,,,,,,,,135.5 mm),106.5 mm),76,mm),,,,,,,,,,,,,135.5 mm),106.5 mm),13.55,10.65
1156,canoneos7d,,"5.8 x 4.4 x 2.9"" / 14.73 x 11.18 x 7.37 cm",,,,,,,,,,,,,14.73 cm,11.18 cm,7.37,cm,,,,,,,,,,,,,14.73 cm,11.18 cm,14.73,11.18
1157,sonyilceqx1,,"2.9 x 2.7 x 2.1"" / 74.0 x 69.5 x 52.5 mm",,,,,,,,,,,,,74.0 mm,69.5 mm,52.5,mm,,,,,,,,,,,,,74.0 mm,69.5 mm,7.4,6.95
1202,sonycybershotdscw830,,3.7 x 2 x 0.9 in. (9.3 x 5.2 x 2.3cm),,,,,,,,,,,,,9.3 cm),5.2 cm),2.3,cm),,,,,,,,,,,,,9.3 cm),5.2 cm),9.3,5.2
1239,sonycybershotdschx400v,,5.1 x 3.7 x 4.1 in. (129.6 x 93.2 x 103.2mm),,,,,,,,,,,,,129.6 mm),93.2 mm),103.2,mm),,,,,,,,,,,,,129.6 mm),93.2 mm),12.959999999999999,9.32
1317,panasoniclumixdmcgh3,,5.2 x 3.6 x 3.2 in. (132.9 x 93.4 x 82.0mm) (excluding protrusions),,,,,,,,,,,,,132.9 mm) (excluding protrusions),93.4 mm) (excluding protrusions),82.0,mm) (excluding protrusions),,,,,,,,,,,,,132.9 mm) (excluding protrusions),93.4 mm) (excluding protrusions),13.290000000000001,9.34
1367,canoneos5d,,"6 x 4.6 x 3"" / 15.24 x 11.68 x 7.62 cm",,,,,,,,,,,,,15.24 cm,11.68 cm,7.62,cm,,,,,,,,,,,,,15.24 cm,11.68 cm,15.24,11.68
1410,canoneos1d,,,,6.2 x 6.4 x 3.3 in. (158 x 163.6 x 82.7 mm),,,,,,,,,,,,,,,,,,,6.2 in,6.4 in,3.3,in,,,,,6.2 in,6.4 in,15.748000000000001,16.256
1474,sonyalphaslta58,,"5.1 x 3.8 x 3.1"" (128.6 x 95.5 x 77.7mm)",,,,,,,,,,,,,128.6 mm),95.5 mm),77.7,mm),,,,,,,,,,,,,128.6 mm),95.5 mm),12.86,9.55
