;key;source;famer_brand_list;famer_model_list;famer_product_name;digital zoom;optical zoom;weight;sensor type;dimensions;optical sensor resolution in megapixel;other resolution;weight without battery;weight;weight_with_battery;weight_without_battery
103;5f3ba61e3fd5b671b220056c;www.price-hunt.com;panasonic;v550;panasonichcv550;150x / 3000x (the Maximum Value of Zoom Magnification);50x;235 g (Without Battery and SD Card);Bsi mos;53 (w) x 61 (h) x 116 (d) mm;2.20 Megapixels;;;235 g (Without Battery and SD Card);;235
104;5f3ba61e3fd5b671b220056f;www.price-hunt.com;panasonic;tz30;panasoniclumixdmctz30;4x;20x;184 g (Without Battery and SD Memory Card)\, 206 g (with Battery and SD Memory Card);Mos;) x 28.2 (d) mm\, 104.9 (w) x 58.9 (h;14.1 Megapixels;2048 x 1536 (3 m Ez)\, 2560 x 1440 (3.5 m Ez)\, 480 x 480 (0.2 m Ez)\, 3648 x 2056 (7.5 m Ez)\, 1\:1 Aspect Ratio\: 3232 x 3232 (10.5 m)\, 1920 x 1080 (2 m Ez)\, 1920 x 1920 (3.5 m Ez)\, 3648 x 2432 (9 m Ez)\, 640 x 480 (0.3 m Ez)\, 2048 x 1360 (2.5 m Ez)\, 3072 x 1728 (5.5 m Ez)\, 4\:3 Aspect Ratio\: 3648 x 2736 (10 m Ez)\, 16\:9 Aspect Ratio\: 4320 x 2432 (10.5 m)\, 2304 x 2304 (5.5 m Ez)\, 3\:2 Aspect Ratio\: 4320 x 2880 (12.5 m)\, 2560 x 1712 (4.5 m Ez)\, 640 x 360 (0.2 m Ez)\, 1536 x 1536 (2.5 m Ez)\, 2560 x 1920 (5 m Ez)\, 640 x 424 (0.3 m Ez)\, 3072 x 2304 (7 m Ez)\, 3072 x 2048 (6 m Ez)\, 2736 x 2736 (7.5 m ez);;184 g (Without Battery and SD Memory Card)\, 206 g (with Battery and SD Memory Card);206;184
105;5f3ba61e3fd5b671b220057a;www.price-hunt.com;panasonic;fh7;panasoniclumixdmcfh7;4x;4x;126 g (with Battery and SD Memory Card)\, 109 g (Without Battery and SD Memory Card);CCD;95.2 (w) x 56.3 (h\, ) x 19.4 (d) mm;16.1 Megapixels;640 x 480 (0.3 m)\, 4608 x 2592 (12m)\, 2048 x 1536 (3 m)\, 4608 x 3072 (14 m)\, 3648 x 2736 (10 m)\, 3456 x 3456 (12m)\, 2560 x 1920 (5 m);;126 g (with Battery and SD Memory Card)\, 109 g (Without Battery and SD Memory Card);126;109
106;5f3ba61e3fd5b671b2200584;www.price-hunt.com;sony;w830;sonycybershotdscw830;32x;8x;104 g;CCD;93.1 (w) x 52.5 (h\, ) x 22.5 (d);20.1 Megapixels;;120.0;104 g;104;
107;5f3ba61e3fd5b671b220059a;www.price-hunt.com;olympus;tg850;olympustg850;20x;5x;218 g (Cipa Guideline Compliant\, Including Batteries\, Card);CMOS;;16 Megapixels;1280 x 720 at 720 Fps\, Movie Recording Size\: (1920 x 1080) 1080 at 60 Fps\, 1920 x 1080 at 1080 Fps\, 640 x 480 at Hs120 Fps\, 640 x 480 (Vga)\, 432 x 324 at S240 fps;;218 g (Cipa Guideline Compliant\, Including Batteries\, Card);218;
108;5f3ba61e3fd5b671b220059d;www.price-hunt.com;panasonic;tz35;panasoniclumixdmctz35;4x;20x;193 g (with Battery and SD Memory Card)\, 171 g (Without Battery and SD Memory Card);Mos;) x 28.7 (d) mm\, 104.9 (w) x 58.9 (h;16.1 Megapixels;) MP4\, 60i (Fhd\: 17mbps) (Sensor Output is 30 Fps\, Continuous Recordable Time\: (Avchd with Picture Quality set to (fhd / 60i\, fhd / 50i)\: 85 min Avchd with Picture Quality set to (HD / 60p\, 640 x 360 (0.2 m Ez)\, HD / 50p)\: 100 min MP4 with Picture Quality set to (Fhd)\: 85 Min\, 2560 x 1440 (3.5 m ez) 1920 x 1080 (2 m ez\, 3648 x 2432 (9 m Ez)\, 3072 x 1728 (5.5 m Ez)\, 1536 x 1536 (2.5 m Ez)\, 25 fps (HD\: 10 Mbps)\, )\, 640 x 480 (0.3 m Ez)\, std Video\: 640 x 480 Pixels (Vga)\: (Ntsc Model\, 1920 x 1920 (3.5 m Ez)\, 280 x 720 Pixels\: (Ntsc Model) Avchd\, 2048 x 1536 (3 m Ez)\, ) MP4\, ) Avchd\, 3072 x 2304 (7 m Ez)\, 2048 x 1360 (2.5 m Ez)\, 30 fps (Fhd\: 20 Mbps) (pal Model\, 25 fps (Fhd\: 20 Mbps)\, ) MP4\, Still Image Recording\: 4\:3 Aspect Ratio\: 3648 x 2736 (10 m Ez)\, 1\, 30 fps (4 Mbps) (pal Model\, 2304 x 2304 (5.5 m Ez)\, 2736 x 2736 (7.5 m Ez)\, )\, ) MP4\, 2560 x 1712 (4.5 m Ez)\, Actual Recordable Time\: (Avchd with Picture Quality set to [fhd / 60i\, fhd / 50i]\: 40 min Avchd with Picture Quality set to (HD / 60p\, HD 50p)\: 50 min MP4 with Picture Quality set to (Fhd\, 3072 x 2048 (6 m Ez)\, Motion Picture Recording\: (HD Video\: 1\,920 x 1\,080 Pixels\: (Ntsc Model) Avchd\, 3648 x 2056 (7.5 m Ez)\, 60p (HD\: 17 Mbps) (Sensor Output is 30 Fps\, 2560 x 1920 (5 m Ez)\, )\: 40 Min)\, ) MP4\, 480 x 480 (0.2 m Ez)\, 640 x 424 (0.3 m Ez)\, 25 fps (4 Mbps)\, 50p (HD\: 17 Mbps) (Sensor Output is 25 Fps\, ) MP4\, ) Avchd\, 1\:1 Aspect Ratio\: 3456 x 3456 (12 m)\, 3\:2 Aspect Ratio\: 4608 x 3072 (14 m)\, 50i (Fhd\: 17 Mbps) (Sensor Output is 25fps\, 16\:9 Aspect Ratio\: 4608 x 2592 (12 m)\, 30 fps (HD\: 10 Mbps) (pal Model;;193 g (with Battery and SD Memory Card)\, 171 g (Without Battery and SD Memory Card);193;171
109;5f3ba61e3fd5b671b22005a8;www.price-hunt.com;olympus;t110;olympust110;4x;3x;135 g;CCD;) x 23.3 (d) mm\, 93.0 (w) x 60.0 (h;12 Megapixels;;;135 g;135;
110;5f3ba61e3fd5b671b22005bb;www.price-hunt.com;sony;5tl;sonynexnex5tl;4x;;218 g;Exmor aps HD CMOS Sensor;;16.1 Megapixels;;;218 g;218;
111;5f3ba61e3fd5b671b22005c5;www.price-hunt.com;sony;w310;sonycybershotdscw310;8x;4x;121;CCD;;12.1 mp;;;121;121;
112;5f3ba61e3fd5b671b22005d4;www.price-hunt.com;canon;a1400;canonpowershota1400;4x;5x;174 g (with Battery and SD Meomry Card);CCD;94.7 (w) x 61.7 (h) x 29.8 (d) mm;16.0 Megapixels;30 Fps\, Image Size\: 3264 x 2448 (M1)\, Movies (HD) 1280 x 720\, 640 x 480 (s)\, 1600 x 1200 (M2)\, Resize in Playback (m2\, s\, 320 x 240)\, 640 x 480 (l)\, 4608 x 2592 (w)\, 25 Fps\, Miniature Effect (HD (5 Fps\, 2.5 Fps\, 1.25 Fps) or l (6 Fps\, 3 Fps\, 1.5 Fps));;174 g (with Battery and SD Meomry Card);174;
