key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list,famer_resolution_from,famer_resolution_to,famer_megapixel
5f3ba6213fd5b671b22052a3,www.shopbot.com.au,s4000,4000,/,/,fujifilmfinepixs4000,/,30,11.8,8.1,300,/,fujifilm,/,/,/
5f3ba6213fd5b671b22052bd,www.shopbot.com.au,eos,,/,/,canoneosm,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b22052cb,www.shopbot.com.au,dscrx100,100,/,/,sonycybershotdscrx100,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b22052dd,www.shopbot.com.au,d5200,5200,/,/,nikond5200,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b22052e5,www.shopbot.com.au,dsctx20,20,/,/,sonycybershotdsctx20,/,4,9.6,5.6,133,/,sony,/,/,/
5f3ba6213fd5b671b22052f7,www.shopbot.com.au,xg1,1,/,/,pentaxxg1,/,,0.0,0.0,,/,pentax,/,/,/
5f3ba6213fd5b671b22052fd,www.shopbot.com.au,60da,60,/,/,canoneos60da,/,,14.5,10.6,755,/,canon,/,/,/
5f3ba6213fd5b671b2205303,www.shopbot.com.au,typ701,701,/,/,leicattyp701,/,,0.0,0.0,,/,leica,/,/,/
5f3ba6213fd5b671b2205311,www.shopbot.com.au,d3200,3200,/,/,nikond3200,/,,12.5,9.6,505,/,nikon,/,/,/
5f3ba6213fd5b671b2205313,www.shopbot.com.au,d7100,7100,/,/,nikond7100,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b220531b,www.shopbot.com.au,dmcgm1,1,/,/,panasoniclumixdmcgm1,/,,0.0,0.0,,/,panasonic,/,/,/
5f3ba6213fd5b671b220531e,www.shopbot.com.au,nex6,6,/,/,sonyalphanex6,/,,0.0,0.0,,/,sony,/,/,/
5f3ba6213fd5b671b2205323,www.shopbot.com.au,sh50,50,/,/,olympussh50,/,,0.0,0.0,,/,olympus,/,/,/
5f3ba6213fd5b671b220532a,www.shopbot.com.au,p7800,7800,/,/,nikoncoolpixp7800,/,,0.0,0.0,,/,nikon,/,/,/
5f3ba6213fd5b671b220532b,www.shopbot.com.au,1200d,1200,/,/,canoneos1200d,/,,0.0,0.0,,/,canon,/,/,/
5f3ba6213fd5b671b220532d,www.shopbot.com.au,dmctz10,10,/,/,panasoniclumixdmctz10,/,12,10.3,6.0,218,/,panasonic,/,/,/
