key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
5f3ba61e3fd5b671b220016c,www.garricks.com.au,df,,/,/,nikondfdslr,/,/,/,/,900,CMOS,nikon
5f3ba61e3fd5b671b2200179,www.garricks.com.au,em5,5,/,/,olympusomdem5,/,/,/,/,,CMOS,olympus
5f3ba61e3fd5b671b220017a,www.garricks.com.au,6d,6,/,/,canoneos6d,/,/,/,/,690,CMOS,canon
5f3ba61e3fd5b671b22001a0,www.garricks.com.au,a77,77,/,/,sonya77,/,/,/,/,,CMOS,sony
5f3ba61e3fd5b671b22001a4,www.garricks.com.au,ep5,5,/,/,olympuspenep5,/,/,/,/,,CMOS,olympus
5f3ba61e3fd5b671b22001a8,www.garricks.com.au,d5300,5300,/,/,nikond5300,/,/,/,/,,CMOS,nikon
5f3ba61e3fd5b671b22001ad,www.garricks.com.au,stylus1,1,/,/,olympusstylus1,/,/,/,/,,CMOS,olympus
5f3ba61e3fd5b671b22001af,www.garricks.com.au,em10,10,/,/,olympusomdem10,/,/,/,/,,CMOS,olympus
5f3ba61e3fd5b671b22001ca,www.garricks.com.au,tg630,630,/,/,olympustg630,/,/,/,/,480,CMOS,olympus
5f3ba61e3fd5b671b22001d1,www.garricks.com.au,dmclx7,7,/,/,panasoniclumixdmclx7,/,/,/,/,,CMOS,panasonic
5f3ba61e3fd5b671b220015b,www.garricks.com.au,d800,800,/,/,nikond800,/,/,/,/,900,CMOS,nikon
5f3ba61e3fd5b671b2200161,www.garricks.com.au,dschx50,50,/,/,sonydschx50,/,/,/,/,,CMOS,sony
5f3ba61e3fd5b671b2200173,www.garricks.com.au,5d,5-3,/,/,canoneos5d,/,/,/,/,,CMOS,canon
5f3ba61e3fd5b671b220017b,www.garricks.com.au,a65,65,/,/,sonya65,/,/,/,/,,CMOS,sony
5f3ba61e3fd5b671b2200185,www.garricks.com.au,epl5,5,/,/,olympuspenepl5,/,/,/,/,,CMOS,olympus
5f3ba61e3fd5b671b2200198,www.garricks.com.au,600d,600,/,/,canoneos600d,/,/,/,/,,CMOS,canon
5f3ba61e3fd5b671b22001a6,www.garricks.com.au,v2,2,/,/,nikonv2,/,/,/,/,,CMOS,nikon
5f3ba61e3fd5b671b22001aa,www.garricks.com.au,g1x,1,/,/,canonpowershotg1x,/,/,/,/,,CMOS,canon
5f3ba61e3fd5b671b22001b7,www.garricks.com.au,s200,200,/,/,canonpowershots200,/,/,/,/,,CCD,canon
5f3ba61e3fd5b671b22001ba,www.garricks.com.au,a6000,6000,/,/,sonyalphaa6000,/,/,/,/,,CMOS,sony
5f3ba61e3fd5b671b22001c1,www.garricks.com.au,a7r,7,/,/,sonyalphaa7r,/,/,/,/,,CMOS,sony
5f3ba61e3fd5b671b22001c2,www.garricks.com.au,s9600,9600,/,/,nikoncoolpixs9600,/,/,/,/,,CMOS,nikon
5f3ba61e3fd5b671b22001d7,www.garricks.com.au,d7100,7100,/,/,nikond7100,/,/,/,/,,CMOS,nikon
5f3ba61e3fd5b671b220015f,www.garricks.com.au,xs1,1,/,/,panasonicxs1,/,/,/,/,,CCD,panasonic
5f3ba61e3fd5b671b2200162,www.garricks.com.au,d7000,7000,/,/,nikond7000,/,/,/,/,,CMOS,nikon
5f3ba61e3fd5b671b220016b,www.garricks.com.au,d3300,3300,/,/,nikond3300,/,/,/,/,,CMOS,nikon
5f3ba61e3fd5b671b22001c3,www.garricks.com.au,700d,700,/,/,canoneos700d,/,/,/,/,575,CMOS,canon
5f3ba61e3fd5b671b220015a,www.garricks.com.au,100d,100,/,/,canoneos100d,/,/,/,/,,CMOS,canon
5f3ba61e3fd5b671b220016e,www.garricks.com.au,d5200,5200,/,/,nikond5200,/,/,/,/,,CMOS,nikon
5f3ba61e3fd5b671b220016f,www.garricks.com.au,dscwx300,300,/,/,sonycybershotdscwx300,/,/,/,/,165,CMOS,sony
5f3ba61e3fd5b671b2200175,www.garricks.com.au,s3600,3600,/,/,nikoncoolpixs3600,/,/,/,/,,CMOS,nikon
5f3ba61e3fd5b671b22001bd,www.garricks.com.au,s9700,9700,/,/,nikoncoolpixs9700,/,/,/,/,,CMOS,nikon
5f3ba61e3fd5b671b22001c0,www.garricks.com.au,7d,7,/,/,canoneos7d,/,/,/,/,,CMOS,canon
5f3ba61e3fd5b671b22001d9,www.garricks.com.au,dscrx1r,1,/,/,sonycybershotdscrx1r,/,/,/,/,,CMOS,sony
5f3ba61e3fd5b671b2200183,www.garricks.com.au,sp100,100,/,/,olympusstylussp100,/,/,/,/,,CMOS,olympus
5f3ba61e3fd5b671b22001a7,www.garricks.com.au,sz16,16,/,/,olympussz16,/,/,/,/,,CMOS,olympus
5f3ba61e3fd5b671b22001bf,www.garricks.com.au,epm2,2,/,/,olympuspenepm2,/,/,/,/,,CMOS,olympus
5f3ba61e3fd5b671b22001cc,www.garricks.com.au,d3200,3200,/,/,nikond3200,/,/,/,/,,CMOS,nikon
5f3ba61e3fd5b671b2200163,www.garricks.com.au,xz10,10,/,/,olympusxz10,/,/,/,/,,CMOS,olympus
5f3ba61e3fd5b671b2200199,www.garricks.com.au,a3000,3000,/,/,sonyilcea3000,/,/,/,/,,CMOS,sony
