,key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list,famer_resolution_from,famer_resolution_to,famer_megapixel
336,5f3ba61f3fd5b671b2201118,www.canon-europe.com,a510,510,/,/,canonpowershota510,3.2,4,0.0,0.0,,/,canon,/,/,/
337,5f3ba61f3fd5b671b220111f,www.canon-europe.com,ixus1100,1100,/,/,canonixus1100,4,12,9.9,5.8,206,/,canon,/,/,/
338,5f3ba61f3fd5b671b2201121,www.canon-europe.com,ixus700,700,/,/,canondigitalixus700,4.0,3,8.9,5.7,170,/,canon,/,/,/
339,5f3ba61f3fd5b671b2201158,www.canon-europe.com,ixus85,85,/,/,canondigitalixus85,4,3,0.0,0.0,,/,canon,/,/,/
340,5f3ba61f3fd5b671b2201163,www.canon-europe.com,a95,95,/,/,canonpowershota95,4.1,3,10.1,6.4,235,/,canon,/,/,/
341,5f3ba61f3fd5b671b2201167,www.canon-europe.com,ixus75,75,/,/,canondigitalixus75,4,3,0.0,0.0,,/,canon,/,/,/
342,5f3ba61f3fd5b671b2201196,www.canon-europe.com,sx50,50,/,/,canonpowershotsx50,4,50,12.2,8.7,595,/,canon,/,/,/
343,5f3ba61f3fd5b671b220119f,www.canon-europe.com,ixus850,850,/,/,canondigitalixus850,4,3.8,8.9,5.8,150,/,canon,/,/,/
344,5f3ba61f3fd5b671b22011a2,www.canon-europe.com,ixus200,200,/,/,canondigitalixus200,4,5,9.9,5.3,152,/,canon,/,/,/
2101,5f3ba61f3fd5b671b2201112,www.canon-europe.com,ixus105,105,/,/,canonixus105,4,4,9.0,5.5,140,/,canon,/,/,/
2102,5f3ba61f3fd5b671b220112f,www.canon-europe.com,ixus135,135,/,/,canonixus135,4,8,9.2,5.2,134,/,canon,/,/,/
2103,5f3ba61f3fd5b671b2201137,www.canon-europe.com,a495,495,/,/,canonpowershota495,4,3.3,9.3,6.1,175,/,canon,/,/,/
2104,5f3ba61f3fd5b671b220113a,www.canon-europe.com,a640,640,/,/,canonpowershota640,4,4,0.0,0.0,,/,canon,/,/,/
2105,5f3ba61f3fd5b671b220113d,www.canon-europe.com,sx1,1,/,/,canonpowershotsx1,4,20,0.0,0.0,,/,canon,/,/,/
2106,5f3ba61f3fd5b671b220113f,www.canon-europe.com,a2400,2400,/,/,canonpowershota2400,4,5,9.4,5.4,126,/,canon,/,/,/
2107,5f3ba61f3fd5b671b2201143,www.canon-europe.com,ixus240,240,/,/,canonixus240,4,5,9.3,5.6,145,/,canon,/,/,/
2108,5f3ba61f3fd5b671b2201149,www.canon-europe.com,ixus132,132,/,/,canonixus132,4,8,9.2,5.2,133,/,canon,/,/,/
2109,5f3ba61f3fd5b671b2201162,www.canon-europe.com,sx40,40,/,/,canonpowershotsx40,4,35,12.2,9.2,600,/,canon,/,/,/
2110,5f3ba61f3fd5b671b22011a1,www.canon-europe.com,g1,1-2,/,/,canonpowershotg1,4,5,11.6,7.4,558,/,canon,/,/,/
2111,5f3ba61f3fd5b671b22011a4,www.canon-europe.com,g5,5,/,/,canonpowershotg5,4.1,4,0.0,0.0,,/,canon,/,/,/
2112,5f3ba61f3fd5b671b22011a9,www.canon-europe.com,a400,400,/,/,canonpowershota400,3.2,2.2,0.0,0.0,,/,canon,/,/,/
3893,5f3ba61f3fd5b671b220110d,www.canon-europe.com,sx130,130,/,/,canonpowershotsx130,4,12,11.3,7.3,308,/,canon,/,/,/
3894,5f3ba61f3fd5b671b2201111,www.canon-europe.com,s50,50,/,/,canonpowershots50,4.1,3,11.2,5.8,260,/,canon,/,/,/
