,key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
248,5f3ba61f3fd5b671b2200bb6,www.pricedekho.com,dsch300,/,/,/,sonycybershotdsch300,,35,12.75,8.9,,CCD ,sony
249,5f3ba61f3fd5b671b2200bd1,www.pricedekho.com,rx10,/,/,/,sonycybershotrx10,,8.3,,,,,sony
250,5f3ba61f3fd5b671b2200bdd,www.pricedekho.com,wb350f,/,/,/,samsungwbwb350f,21,4,,,216,CMOS ,samsung
251,5f3ba61f3fd5b671b2200bdf,www.pricedekho.com,a3100,/,/,/,canonpowershota3100,4,4,,,165,CCD ,canon
252,5f3ba61f3fd5b671b2200be4,www.pricedekho.com,f660exr,/,/,/,fujifilmfinepixf660exr,3.4,15,,,217,EXR CMOS ,fujifilm
253,5f3ba61f3fd5b671b2200c1f,www.pricedekho.com,a7,/,/,/,sonyalphaa7,,2,,,474,CMOS ,sony
254,5f3ba61f3fd5b671b2200c24,www.pricedekho.com,6d,/,/,/,canoneos6d,,,,,755,CMOS ,canon
255,5f3ba61f3fd5b671b2200c31,www.pricedekho.com,l27,/,/,/,nikoncoolpixl27,4,5,,,161,CCD ,nikon
256,5f3ba61f3fd5b671b2200c51,www.pricedekho.com,instax210,/,/,/,fujifilminstax210,,,,,610,,fujifilm
257,5f3ba61f3fd5b671b2200c5d,www.pricedekho.com,fx80,/,/,/,panasoniclumixdmcfx80,4,5,,,,CCD ,panasonic
258,5f3ba61f3fd5b671b2200c6e,www.pricedekho.com,s9100,/,/,/,nikoncoolpixs9100,4,18,,,214,CMOS ,nikon
259,5f3ba61f3fd5b671b2200c75,www.pricedekho.com,l310,/,/,/,nikoncoolpixl310,4,21,,,,CCD ,nikon
260,5f3ba61f3fd5b671b2200c83,www.pricedekho.com,xz10,/,/,/,olympusstylusxz10,2,5,,,221,BSI CMOS ,olympus
261,5f3ba61f3fd5b671b2200c94,www.pricedekho.com,es30,/,/,/,samsunges30,5,5,,,,CCD ,samsung
262,5f3ba61f3fd5b671b2200ca3,www.pricedekho.com,s9500,/,/,/,nikoncoolpixs9500,4,22,,,205,CMOS ,nikon
263,5f3ba61f3fd5b671b2200cac,www.pricedekho.com,600d,/,/,/,canoneos600d,,,,,570,CMOS ,canon
264,5f3ba61f3fd5b671b2200cae,www.pricedekho.com,dschx300,/,/,/,sonycybershotdschx300,4,50,,,623,Exmor R CMOS ,sony
265,5f3ba61f3fd5b671b2200cbc,www.pricedekho.com,em5,/,/,/,olympusomdem5,,,,,,Live MOS ,olympus
266,5f3ba61f3fd5b671b2200cc0,www.pricedekho.com,dmcls5,/,/,/,panasoniclumixdmcls5,4,5,,,173,CCD ,panasonic
