key,key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
5f3ba61e3fd5b671b2200805,5f3ba61e3fd5b671b2200805,www.buzzillions.com,x500bk,500,"214698\,x500bk\,x500bktru",x500bk,geappliancepowerprox500bk,,,,,,,ge
5f3ba61e3fd5b671b220080f,5f3ba61e3fd5b671b220080f,www.buzzillions.com,dmczs25,25,"""280891""\,""318805 silver""\,""qz452324""\,""885170117549""","""qz452324""\,""885170117549""",panasoniclumixdmczs25885170117549qz452324,,20.0,,,,CMOS,panasonic
5f3ba61e3fd5b671b2200817,5f3ba61e3fd5b671b2200817,www.buzzillions.com,xp100,100,,,fujifilmfinepixxp100,,5.0,,,,CMOS,fujifilm
5f3ba61e3fd5b671b220081c,5f3ba61e3fd5b671b220081c,www.buzzillions.com,tg830,830,,,olympustg830,,5.0,,,,CMOS,olympus
5f3ba61e3fd5b671b220081d,5f3ba61e3fd5b671b220081d,www.buzzillions.com,c182,182,"163773 blue\,c182kdk\,""c182silver""\,""c182red""",c182kdk,kodakc182c182kdk,5.0,3.0,,,,,kodak
5f3ba61e3fd5b671b2200821,5f3ba61e3fd5b671b2200821,www.buzzillions.com,"sp610\,sp610uz",610,sp610uzbun,,olympus228045sp610sp610sp610uz,,22.0,,,,,olympus
5f3ba61e3fd5b671b2200823,5f3ba61e3fd5b671b2200823,www.buzzillions.com,q,,"""334923""\,""244937 white""\,""px15073143""\,""15073sls""","""px15073143""\,""15073sls""",pentaxqdigital15073slsdigitalqpx15073143,,,,,,CMOS,pentax
5f3ba61e3fd5b671b2200825,5f3ba61e3fd5b671b2200825,www.buzzillions.com,d4,4,,,nikond4,,,,,,CMOS,nikon
5f3ba61e3fd5b671b2200833,5f3ba61e3fd5b671b2200833,www.buzzillions.com,tl350,350,,,samsungtl350,44.0,5.0,,,,,samsung
5f3ba61e3fd5b671b2200839,5f3ba61e3fd5b671b2200839,www.buzzillions.com,st600,600,"202925\,st100",st100,samsungdualviewst600st100,5.0,55.0,,,,,samsung
