key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
5f3ba6213fd5b671b2204f93,www.eglobalcentral.co.uk,p600,600,/,/,nikoncoolpixp600,,,0.0,0.0,,,nikon
5f3ba6213fd5b671b2204fa4,www.eglobalcentral.co.uk,d3300,3300,/,/,nikond3300,,,12.4,9.8,,,nikon
5f3ba6213fd5b671b2204fb5,www.eglobalcentral.co.uk,nx,,/,/,samsungnxmini,,,0.0,0.0,,,samsung
5f3ba6213fd5b671b2204fcb,www.eglobalcentral.co.uk,a6000,6000,/,/,sonyalphaa6000,2.0,,12.0,6.7,,,sony
5f3ba6213fd5b671b2205039,www.eglobalcentral.co.uk,d5200,5200,/,/,nikond5200,,,12.5,9.8,,,nikon
5f3ba6213fd5b671b2205048,www.eglobalcentral.co.uk,d3300,3300,/,/,nikond3300,,,12.4,9.8,,,nikon
5f3ba6213fd5b671b2205088,www.eglobalcentral.co.uk,dmctz60,60,/,/,panasoniclumixdmctz60,,,0.0,0.0,,,panasonic
5f3ba6213fd5b671b22050a5,www.eglobalcentral.co.uk,tg3,3,/,/,olympusstylustoughtg3,4.0,4.0,11.2,6.6,,,olympus
5f3ba6213fd5b671b22050be,www.eglobalcentral.co.uk,nx,,/,/,samsungnxmini,,,0.0,0.0,,,samsung
5f3ba6213fd5b671b22050c5,www.eglobalcentral.co.uk,sx700,700,/,/,canonpowershotsx700,,,0.0,0.0,,,canon
5f3ba6213fd5b671b22050c7,www.eglobalcentral.co.uk,sx700,700,/,/,canonpowershotsx700,,,0.0,0.0,,,canon
5f3ba6213fd5b671b22050ed,www.eglobalcentral.co.uk,em10,10,/,/,olympusomdem10,,,11.9,8.2,,,olympus
5f3ba6213fd5b671b220510a,www.eglobalcentral.co.uk,d5100,5100,/,/,nikond5100,,,12.8,9.7,,,nikon
5f3ba6213fd5b671b2205116,www.eglobalcentral.co.uk,em1,1,/,/,olympusem1,,,0.0,0.0,,,olympus
5f3ba6213fd5b671b220512f,www.eglobalcentral.co.uk,dmctz60,60,/,/,panasoniclumixdmctz60,,,0.0,0.0,,,panasonic
5f3ba6213fd5b671b220515e,www.eglobalcentral.co.uk,d800,800,/,/,nikond800,,,14.6,12.3,,,nikon
5f3ba6213fd5b671b220519c,www.eglobalcentral.co.uk,a77,77-2,/,/,sonyalphaa77,,,0.0,0.0,,,sony
5f3ba6213fd5b671b2204f9e,www.eglobalcentral.co.uk,em1,1,/,/,olympusomdem1,,,0.0,0.0,,,olympus
