;key;source;famer_brand_list;famer_model_list;famer_product_name;zoom range;weight;Weight_without_battery;sensor details;resolution
22;5f3ba61e3fd5b671b220016c;www.garricks.com.au;nikon;df;nikondfdslr;"
";900g;;CMOS;36.3mp
23;5f3ba61e3fd5b671b2200179;www.garricks.com.au;olympus;em5;olympusomdem5;"
";;;CMOS;16.1 mp
24;5f3ba61e3fd5b671b220017a;www.garricks.com.au;canon;6d;canoneos6d;"
";690g exc. Battery;690;CMOS;20.2mp
25;5f3ba61e3fd5b671b22001a0;www.garricks.com.au;sony;a77;sonya77;"
";;;CMOS;24.3 mp
26;5f3ba61e3fd5b671b22001a4;www.garricks.com.au;olympus;ep5;olympuspenep5;"
";;;CMOS;16.1 mp
27;5f3ba61e3fd5b671b22001a8;www.garricks.com.au;nikon;d5300;nikond5300;"
";;;CMOS;24.2mp
28;5f3ba61e3fd5b671b22001ad;www.garricks.com.au;olympus;stylus1;olympusstylus1;10x Optical Constant F/2.8 Aperture;;;CMOS;12mp
29;5f3ba61e3fd5b671b22001af;www.garricks.com.au;olympus;em10;olympusomdem10;"
";;;CMOS;16.1 mp
30;5f3ba61e3fd5b671b22001ca;www.garricks.com.au;olympus;tg630;olympustg630;5x Optical;480g;;CMOS;12mp
31;5f3ba61e3fd5b671b22001d1;www.garricks.com.au;panasonic;dmclx7;panasoniclumixdmclx7;3.8x Optical;;;CMOS;10.1mp
1768;5f3ba61e3fd5b671b220015b;www.garricks.com.au;nikon;d800;nikond800;"
";900g;;CMOS;36.3mp
1769;5f3ba61e3fd5b671b2200161;www.garricks.com.au;sony;dschx50;sonydschx50;30x;;;CMOS;20.4mp
1770;5f3ba61e3fd5b671b220016d;www.garricks.com.au;nikon;d5300;nikond5300;"
";;;CMOS;24.2mp
1771;5f3ba61e3fd5b671b2200171;www.garricks.com.au;olympus;ep5;olympuspenep5;"
";;;CMOS;16.1 mp
1772;5f3ba61e3fd5b671b2200173;www.garricks.com.au;canon;5d;canoneos5d;"
";;;CMOS;22.3mp
1773;5f3ba61e3fd5b671b220017b;www.garricks.com.au;sony;a65;sonya65;"
";;;CMOS;24.3 mp
1774;5f3ba61e3fd5b671b220017c;www.garricks.com.au;olympus;em5;olympusomdem5;"
";;;CMOS;16.1 mp
1775;5f3ba61e3fd5b671b2200185;www.garricks.com.au;olympus;epl5;olympuspenepl5;"
";;;CMOS;16.1 mp
1776;5f3ba61e3fd5b671b2200198;www.garricks.com.au;canon;600d;canoneos600d;"
";;;CMOS;
1777;5f3ba61e3fd5b671b22001a6;www.garricks.com.au;nikon;v2;nikonv2;"
";;;CMOS;14.2mb
1778;5f3ba61e3fd5b671b22001aa;www.garricks.com.au;canon;g1x;canonpowershotg1x;4x Optical Zoom;;;CMOS;14.3mp
1779;5f3ba61e3fd5b671b22001b7;www.garricks.com.au;canon;s200;canonpowershots200;"
";;;CCD;10.1 mp
1780;5f3ba61e3fd5b671b22001ba;www.garricks.com.au;sony;a6000;sonyalphaa6000;"
";;;CMOS;24.3
1781;5f3ba61e3fd5b671b22001c1;www.garricks.com.au;sony;a7r;sonyalphaa7r;"
";;;CMOS;36.4
1782;5f3ba61e3fd5b671b22001c2;www.garricks.com.au;nikon;s9600;nikoncoolpixs9600;22x Optical;;;CMOS;16mp
1783;5f3ba61e3fd5b671b22001d7;www.garricks.com.au;nikon;d7100;nikond7100;"
";;;CMOS;24.1mp
3565;5f3ba61e3fd5b671b220015c;www.garricks.com.au;olympus;ep5;olympuspenep5;"
";;;CMOS;16.1 mp
3566;5f3ba61e3fd5b671b220015f;www.garricks.com.au;panasonic;xs1;panasonicxs1;5x Optical;;;CCD;16mp
3567;5f3ba61e3fd5b671b2200162;www.garricks.com.au;nikon;d7000;nikond7000;"
";;;CMOS;16.2mp
3568;5f3ba61e3fd5b671b220016b;www.garricks.com.au;nikon;d3300;nikond3300;"
";;;CMOS;24.2mp
3569;5f3ba61e3fd5b671b2200174;www.garricks.com.au;nikon;d5300;nikond5300;"
";;;CMOS;24.2mp
3570;5f3ba61e3fd5b671b2200194;www.garricks.com.au;nikon;8g;nikondfdslrwithafsf18g;"
";900g;;CMOS;36.3mp
3571;5f3ba61e3fd5b671b220019a;www.garricks.com.au;olympus;epl5;olympuspenepl5;"
";;;CMOS;16.1 mp
3572;5f3ba61e3fd5b671b22001a5;www.garricks.com.au;olympus;em10;olympusomdem10;"
";;;CMOS;16.1 mp
3573;5f3ba61e3fd5b671b22001c3;www.garricks.com.au;canon;700d;canoneos700d;"
";575g Body Only;575;CMOS;18mp
3574;5f3ba61e3fd5b671b22001d4;www.garricks.com.au;olympus;epl5;olympuspenepl5;"
";;;CMOS;16.1 mp
5346;5f3ba61e3fd5b671b220015a;www.garricks.com.au;canon;100d;canoneos100d;"
";;;CMOS;18mp
5347;5f3ba61e3fd5b671b220016e;www.garricks.com.au;nikon;d5200;nikond5200;"
";;;CMOS;24.1mp
5348;5f3ba61e3fd5b671b220016f;www.garricks.com.au;sony;dscwx300;sonycybershotdscwx300;20x Optical;165g;;CMOS;18.2mp
5349;5f3ba61e3fd5b671b2200175;www.garricks.com.au;nikon;s3600;nikoncoolpixs3600;8x Optical;;;CMOS;20mp
5350;5f3ba61e3fd5b671b22001b5;www.garricks.com.au;nikon;d7100;nikond7100;"
";;;CMOS;24.1mp
5351;5f3ba61e3fd5b671b22001bd;www.garricks.com.au;nikon;s9700;nikoncoolpixs9700;30x Optical;;;CMOS;16mp
5352;5f3ba61e3fd5b671b22001c0;www.garricks.com.au;canon;7d;canoneos7d;"
";;;CMOS;18mp
5353;5f3ba61e3fd5b671b22001c9;www.garricks.com.au;canon;600d;canoneos600d;"
";;;CMOS;18mp
5354;5f3ba61e3fd5b671b22001d9;www.garricks.com.au;sony;dscrx1r;sonycybershotdscrx1r;"
";;;CMOS;24.3mp
7040;5f3ba61e3fd5b671b2200168;www.garricks.com.au;sony;a77;sonya77;"
";;;CMOS;24.3 mp
7041;5f3ba61e3fd5b671b2200182;www.garricks.com.au;olympus;em5;olympusomdem5;"
";;;CMOS;
7042;5f3ba61e3fd5b671b2200183;www.garricks.com.au;olympus;sp100;olympusstylussp100;50x Optical;;;CMOS;16mp
7043;5f3ba61e3fd5b671b2200190;www.garricks.com.au;canon;7d;canoneos7d;"
";;;CMOS;18mp
7044;5f3ba61e3fd5b671b2200196;www.garricks.com.au;nikon;d5200;nikond5200;"
";;;CMOS;24.1mp
7045;5f3ba61e3fd5b671b22001a7;www.garricks.com.au;olympus;sz16;olympussz16;24x Optical;;;CMOS;16mp
7046;5f3ba61e3fd5b671b22001a9;www.garricks.com.au;canon;5d;canoneos5d;"
";;;CMOS;22.3mp
7047;5f3ba61e3fd5b671b22001bf;www.garricks.com.au;olympus;epm2;olympuspenepm2;"
";;;CMOS;16.1 mp
7048;5f3ba61e3fd5b671b22001cc;www.garricks.com.au;nikon;d3200;nikond3200;"
";;;CMOS;24.2mp
7049;5f3ba61e3fd5b671b22001cd;www.garricks.com.au;canon;700d;canoneos700d;"
";575g;;CMOS;18mp
8786;5f3ba61e3fd5b671b2200163;www.garricks.com.au;olympus;xz10;olympusxz10;5x Optical;;;CMOS;12mp
8787;5f3ba61e3fd5b671b2200199;www.garricks.com.au;sony;a3000;sonyilcea3000;"
";;;CMOS;20.1mp
8788;5f3ba61e3fd5b671b220019f;www.garricks.com.au;olympus;em5;olympusomdem5;"
";;;CMOS;16.1 mp
8789;5f3ba61e3fd5b671b22001a1;www.garricks.com.au;olympus;tg830;olympustg830;5x Optical;;;CMOS;16mp
8790;5f3ba61e3fd5b671b22001b8;www.garricks.com.au;sony;dschx300;sonydschx300;50x;;;CMOS;20.4mp
10524;5f3ba61e3fd5b671b220015e;www.garricks.com.au;canon;7d;canoneos7d;"
";;;CMOS;18mp
10525;5f3ba61e3fd5b671b220017d;www.garricks.com.au;panasonic;dmcfz200;panasoniclumixdmcfz200;24x Optical;;;CMOS;12.1mp
10526;5f3ba61e3fd5b671b220017e;www.garricks.com.au;olympus;tg835;olympustg835;5x Optical;;;CMOS;16mp
10527;5f3ba61e3fd5b671b220018b;www.garricks.com.au;canon;6d;canoneos6d;"
";690g exc. Battery;690;CMOS;20.2mp
10528;5f3ba61e3fd5b671b220018f;www.garricks.com.au;olympus;sh50;olympussh50;24x Optical;;;CMOS;16mp
10529;5f3ba61e3fd5b671b22001a3;www.garricks.com.au;nikon;d800e;nikond800e;"
";900g;;CMOS;36.3mp
10530;5f3ba61e3fd5b671b22001ac;www.garricks.com.au;nikon;df;nikondfdslr;"
";900g;;CMOS;36.3mp
10531;5f3ba61e3fd5b671b22001ae;www.garricks.com.au;olympus;em1;olympusomdem1;"
";;;CMOS;16.1 mp
10532;5f3ba61e3fd5b671b22001b3;www.garricks.com.au;olympus;em5;olympusomdem5;"
";;;CMOS;16.1 mp
10533;5f3ba61e3fd5b671b22001c8;www.garricks.com.au;canon;700d;canoneos700d;"
";575g;;CMOS;18mp
10534;5f3ba61e3fd5b671b22001ce;www.garricks.com.au;nikon;d3300;nikond3300;"
";;;CMOS;24.2mp
12282;5f3ba61e3fd5b671b220016a;www.garricks.com.au;olympus;tg850;olympustg850;5x Optical;;;CMOS;16mp
12283;5f3ba61e3fd5b671b2200187;www.garricks.com.au;nikon;d7100;nikond7100;"
";;;CMOS;24.1mp
12284;5f3ba61e3fd5b671b220018a;www.garricks.com.au;nikon;p340;nikoncoolpixp340;5x Optical;;;CMOS;12.2mp
12285;5f3ba61e3fd5b671b2200191;www.garricks.com.au;olympus;em10;olympusomdem10;"
";;;CMOS;16.1 mp
12286;5f3ba61e3fd5b671b220019e;www.garricks.com.au;nikon;coolpix;nikoncoolpixa;28mm (equiv.) Prime Nikkor Lens;;;CMOS;16.2mp
12287;5f3ba61e3fd5b671b22001b9;www.garricks.com.au;panasonic;ft25;panasonicft25;4x Optical;;;CCD;
12288;5f3ba61e3fd5b671b22001c5;www.garricks.com.au;nikon;aw1;nikon1aw1;"
";;;CMOS;14.2mp
12289;5f3ba61e3fd5b671b22001d5;www.garricks.com.au;nikon;v2;nikonv2;"
";;;CMOS;14.2mb
14095;5f3ba61e3fd5b671b2200159;www.garricks.com.au;canon;70d;canoneos70d;"
";;;CMOS;20.2mp
14096;5f3ba61e3fd5b671b220015d;www.garricks.com.au;nikon;d5200;nikond5200;"
";;;CMOS;24.1mp
14097;5f3ba61e3fd5b671b2200164;www.garricks.com.au;canon;100d;canoneos100d;"
";;;CMOS;18mp
14098;5f3ba61e3fd5b671b2200165;www.garricks.com.au;nikon;d5200;nikond5200;"
";;;CMOS;24.1mp
14099;5f3ba61e3fd5b671b220018c;www.garricks.com.au;olympus;em1;olympusomdem1;"
";;;CMOS;16.1 mp
14100;5f3ba61e3fd5b671b2200192;www.garricks.com.au;nikon;d5200;nikond5200;"
";;;CMOS;24.1mp
14101;5f3ba61e3fd5b671b2200195;www.garricks.com.au;olympus;em1;olympusomdem1;"
";;;CMOS;16.1 mp
14102;5f3ba61e3fd5b671b220019b;www.garricks.com.au;olympus;epm2;olympuspenepm2;"
";;;CMOS;16.1 mp
14103;5f3ba61e3fd5b671b220019c;www.garricks.com.au;nikon;d3300;nikond3300;"
";;;CMOS;24.2mp
14104;5f3ba61e3fd5b671b220019d;www.garricks.com.au;sony;a6000;sonyalphaa6000;"
";;;CMOS;24.3
14105;5f3ba61e3fd5b671b22001ab;www.garricks.com.au;olympus;ep5;olympuspenep5;"
";;;CMOS;16.1 mp
14106;5f3ba61e3fd5b671b22001bb;www.garricks.com.au;olympus;em10;olympusomdem10;"
";;;CMOS;16.1 mp
14107;5f3ba61e3fd5b671b22001d2;www.garricks.com.au;olympus;em5;olympusomdem5;"
";;;CMOS;16.1 mp
14108;5f3ba61e3fd5b671b22001d8;www.garricks.com.au;olympus;em5;olympusomdem5;"
";;;CMOS;16.1 mp
15809;5f3ba61e3fd5b671b2200158;www.garricks.com.au;canon;5d;canoneos5d;"
";860g;;CMOS;22mp
15810;5f3ba61e3fd5b671b2200177;www.garricks.com.au;canon;1dx;canoneos1dx;"
";1530g exc battery;1530;CMOS;18.1mp
15811;5f3ba61e3fd5b671b2200178;www.garricks.com.au;canon;600d;canoneos600d;"
";;;CMOS;
15812;5f3ba61e3fd5b671b2200181;www.garricks.com.au;canon;ixus255;canonixus255;10x Optical;;;CMOS;12mp
15813;5f3ba61e3fd5b671b2200184;www.garricks.com.au;sony;a7;sonyalphaa7;"
";;;CMOS;36.4
15814;5f3ba61e3fd5b671b2200186;www.garricks.com.au;olympus;em10;olympusomdem10;"
";;;CMOS;16.1 mp
15815;5f3ba61e3fd5b671b2200188;www.garricks.com.au;nikon;p600;nikoncoolpixp600;60x Optical (120x Enhanced);565gm;;CMOS;16.1mp
15816;5f3ba61e3fd5b671b2200197;www.garricks.com.au;olympus;ep5;olympuspenep5;"
";;;CMOS;16.1 mp
15817;5f3ba61e3fd5b671b22001a2;www.garricks.com.au;canon;sx510;canonpowershotsx510;30x Optical Zoom;;;CMOS;12mp
15818;5f3ba61e3fd5b671b22001b2;www.garricks.com.au;nikon;d810;nikond810;"
";900g;;CMOS;36.3mp
15819;5f3ba61e3fd5b671b22001b4;www.garricks.com.au;nikon;d5300;nikond5300;"
";;;CMOS;24.2mp
15820;5f3ba61e3fd5b671b22001be;www.garricks.com.au;canon;70d;canoneos70d;"
";;;CMOS;20.2mp
15821;5f3ba61e3fd5b671b22001c4;www.garricks.com.au;nikon;d4s;nikond4s;"
";1180g;;CMOS;16.2mp
15822;5f3ba61e3fd5b671b22001c7;www.garricks.com.au;sony;dscrx100;sonycybershotdscrx100;3.6x Optical;;;CMOS;20.2mp
15823;5f3ba61e3fd5b671b22001d0;www.garricks.com.au;sony;a99;sonya99;"
";;;CMOS;24.3 mp
15824;5f3ba61e3fd5b671b22001d3;www.garricks.com.au;nikon;d3300;nikond3300;"
";460gm;;CMOS;24.2mp
15825;5f3ba61e3fd5b671b22001d6;www.garricks.com.au;nikon;d610;nikond610;"
";;;CMOS;24mp
17549;5f3ba61e3fd5b671b2200160;www.garricks.com.au;canon;700d;canoneos700d;"
";575g;;CMOS;18mp
17550;5f3ba61e3fd5b671b2200166;www.garricks.com.au;olympus;em10;olympusomdem10;"
";;;CMOS;16.1 mp
17551;5f3ba61e3fd5b671b2200167;www.garricks.com.au;canon;100d;canoneos100d;"
";;;CMOS;18mp
17552;5f3ba61e3fd5b671b2200170;www.garricks.com.au;nikon;s2800;nikoncoolpixs2800;5x Optical;;;CCD;20mp
17553;5f3ba61e3fd5b671b22001b0;www.garricks.com.au;nikon;s6800;nikoncoolpixs6800;12x Optical;;;CMOS;16mp
17554;5f3ba61e3fd5b671b22001b6;www.garricks.com.au;canon;6d;canoneos6d;"
";690g exc. Battery;690;CMOS;20.2mp
17555;5f3ba61e3fd5b671b22001bc;www.garricks.com.au;nikon;8g;nikondfdslrwithafsf18g;"
";900g;;CMOS;36.3mp
17556;5f3ba61e3fd5b671b22001cb;www.garricks.com.au;nikon;d5300;nikond5300;"
";;;CMOS;24.2mp
17557;5f3ba61e3fd5b671b22001cf;www.garricks.com.au;canon;70d;canoneos70d;"
";;;CMOS;20.2mp
19313;5f3ba61e3fd5b671b2200169;www.garricks.com.au;nikon;p530;nikoncoolpixp530;42x Optical;494gm;494;CMOS;16.1mp
19314;5f3ba61e3fd5b671b2200172;www.garricks.com.au;sony;a99;sonya99;"
";;;CMOS;24.3 mp
19315;5f3ba61e3fd5b671b2200176;www.garricks.com.au;sony;a58;sonya58;"
";;;CMOS;20 mp
19316;5f3ba61e3fd5b671b220017f;www.garricks.com.au;sony;a99;sonya99;"
";;;CMOS;24.3 mp
19317;5f3ba61e3fd5b671b2200180;www.garricks.com.au;canon;sx50;canonpowershotsx50;50x Optical Zoom;;;12.1mp;16mp
19318;5f3ba61e3fd5b671b2200189;www.garricks.com.au;olympus;ep5;olympuspenep5;"
";;;CMOS;16.1 mp
19319;5f3ba61e3fd5b671b220018d;www.garricks.com.au;canon;hfg25;canonhfg25;"
";565;;CMOS;1080p
19320;5f3ba61e3fd5b671b220018e;www.garricks.com.au;nikon;d3200;nikond3200;"
";;;CMOS;24.2mp
19321;5f3ba61e3fd5b671b2200193;www.garricks.com.au;nikon;d3200;nikond3200;"
";;;CMOS;24.2mp
19322;5f3ba61e3fd5b671b22001b1;www.garricks.com.au;canon;70d;canoneos70d;"
";;;CMOS;20.2mp
19323;5f3ba61e3fd5b671b22001c6;www.garricks.com.au;sony;a58;sonya58;"
";;;CMOS;20 mp
