,key,source,famer_brand_list,famer_model_list,famer_product_name,digital zoom,famer_opticalzoom,optical zoom,sensor type,sensor_typ_2,weight,dimension,dimensions,display,zoom
248,5f3ba61f3fd5b671b2200bb6,www.pricedekho.com,sony,dsch300,sonycybershotdsch300,,,35x,CCD Sensor,,,,127.5 x 89.0 x 91.7 mm,,"
"
249,5f3ba61f3fd5b671b2200bd1,www.pricedekho.com,sony,rx10,sonycybershotrx10,,8.3,8.3x,,,,,,,"
"
250,5f3ba61f3fd5b671b2200bdd,www.pricedekho.com,samsung,wb350f,samsungwbwb350f,,,,,CMOS Sensor,,Weight\n216 gms,,"Screen Size\n3 Inches\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\, 1280 x 720 pixels (HD) @ 30 fps\, 640 x 480 pixels (VGA) @ 30 fps","Optical Zoom\n4x\nDigital Zoom\n21x
"
251,5f3ba61f3fd5b671b2200bdf,www.pricedekho.com,canon,a3100,canonpowershota3100,,,,,CCD Sensor,,Weight\n165 gms,,"Screen Size\n2.7 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\n640 x 480 pixels 30 fps*/30fps LP*\, 320 x 240 (30fps*) * Actual frame is 29.97fps pixels\nViewFinder","Optical Zoom\n4x\nDigital Zoom\n4x
"
252,5f3ba61f3fd5b671b2200be4,www.pricedekho.com,fujifilm,f660exr,fujifilmfinepixf660exr,3.4x,,15x,EXR CMOS Sensor,,217 gms,,4.07 x 2.33 x 1.28 Inches,,"
"
253,5f3ba61f3fd5b671b2200c1f,www.pricedekho.com,sony,a7,sonyalphaa7,,,,,CMOS Sensor,,Weight\n474 gms,,Screen Size\n3 Inches,"Optical Zoom\n2x
"
254,5f3ba61f3fd5b671b2200c24,www.pricedekho.com,canon,6d,canoneos6d,,,,,CMOS Sensor,,Weight\n755 gms,,Screen Size\n3 Inches\nSupported Aspect Ratio\n3\:2,"
"
255,5f3ba61f3fd5b671b2200c31,www.pricedekho.com,nikon,l27,nikoncoolpixl27,4x,,5x,CCD Sensor,,161 gms,,3.8 x 2.33 x 1.14 Inches,,"
"
256,5f3ba61f3fd5b671b2200c51,www.pricedekho.com,fujifilm,instax210,fujifilminstax210,,,,,,,Weight\n610 gms,,ViewFinder\nInverted Galilean Finder,"
"
257,5f3ba61f3fd5b671b2200c5d,www.pricedekho.com,panasonic,fx80,panasoniclumixdmcfx80,4x,5.0,5x,CCD Sensor,,,,,,"
"
