key,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
5f3ba6213fd5b671b2204cae,1,www.priceme.co.nz,d7000,7000,/,/,nikond7000,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204ce6,2,www.priceme.co.nz,ixus1000,1000,/,/,canonixus1000,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204d06,3,www.priceme.co.nz,dsctx1,1,/,/,sonycybershotdsctx1,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204d1d,4,www.priceme.co.nz,dmcgh3,3,/,/,panasoniclumixdmcgh3,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204d1f,5,www.priceme.co.nz,dmclz30,30,/,/,panasoniclumixdmclz30,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204d25,6,www.priceme.co.nz,epl6,6,/,/,olympuspenepl6,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204d30,7,www.priceme.co.nz,dmcft4,4,/,/,panasoniclumixdmcft4,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204d32,8,www.priceme.co.nz,7d,7,/,/,canoneos7d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204d57,9,www.priceme.co.nz,6d,6,/,/,canoneos6d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204d5d,10,www.priceme.co.nz,sh100,100,/,/,samsungsh100,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204d67,11,www.priceme.co.nz,p340,340,/,/,nikoncoolpixp340,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204d74,12,www.priceme.co.nz,f850,850,/,/,fujifilmfinepixf850,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204d7e,13,www.priceme.co.nz,70d,70,/,/,canoneos70d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204d8c,14,www.priceme.co.nz,d610,610,/,/,nikond610,/,/,/,/,/,/,nikon
5f3ba6213fd5b671b2204d9f,15,www.priceme.co.nz,5d,5-3,/,/,canoneos5d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204da2,16,www.priceme.co.nz,ixus240,240,/,/,canonixus240,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204dba,17,www.priceme.co.nz,epm2,2,/,/,olympuspenepm2,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204dbe,18,www.priceme.co.nz,epl5,5,/,/,olympuspenepl5,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204dc7,19,www.priceme.co.nz,wg4,4,/,/,ricohwg4,/,/,/,/,/,/,ricoh
5f3ba6213fd5b671b2204dd1,20,www.priceme.co.nz,vh520,520,/,/,olympusvh520,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204dea,21,www.priceme.co.nz,ep3,3,/,/,olympuspenep3,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204dec,22,www.priceme.co.nz,dslra290,290,/,/,sonyalphadslra290,/,/,/,/,/,/,sony
5f3ba6213fd5b671b2204dee,23,www.priceme.co.nz,em5,5,/,/,olympusomdem5,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204e05,24,www.priceme.co.nz,6d,6,/,/,canoneos6d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204e0d,25,www.priceme.co.nz,j25,25,/,/,fujifilmfinepixj25,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204e22,26,www.priceme.co.nz,xe1,1,/,/,fujifilmxe1,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204e24,27,www.priceme.co.nz,dmcgh4,4,/,/,panasoniclumixdmcgh4,/,/,/,/,/,/,panasonic
5f3ba6213fd5b671b2204e3e,28,www.priceme.co.nz,jz500,500,/,/,fujifilmfinepixjz500,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204e4a,29,www.priceme.co.nz,ax660,660,/,/,fujifilmfinepixax660,/,/,/,/,/,/,fujifilm
5f3ba6213fd5b671b2204e77,30,www.priceme.co.nz,xz1,1,/,/,olympusxz1,/,/,/,/,/,/,olympus
5f3ba6213fd5b671b2204e9d,31,www.priceme.co.nz,ekgc200,200,/,/,samsunggalaxy2ekgc200,/,/,/,/,/,/,samsung
5f3ba6213fd5b671b2204ea9,32,www.priceme.co.nz,7d,7,/,/,canoneos7d,/,/,/,/,/,/,canon
5f3ba6213fd5b671b2204eac,33,www.priceme.co.nz,650d,650,/,/,canoneos650d,/,/,/,/,/,/,canon
