,key,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_width,famer_height,famer_height,famer_weight,famer_weight,famer_sensor,famer_brand_list
137,5f3ba61e3fd5b671b22006c2,1,cammarkt.com,kr,,/,27075158412,pentaxkr,,,12.2,12.2,,9.144,,517.09488,CMOS,pentax
138,5f3ba61e3fd5b671b22006d0,2,cammarkt.com,k5ii,5-2,/,27075176546,pentaxk5ii,,,5.2,13.208,,9.7,,662.24432,CMOS,pentax
139,5f3ba61e3fd5b671b22006da,3,cammarkt.com,t4i,4,/,,canoneosrebelt4i,,80.0,,,,,1.17,530.70264,CMOS,canon
140,5f3ba61e3fd5b671b22006dd,4,cammarkt.com,d5200,5200,/,,nikond5200,,,,,,,,360.78 ,CMOS,nikon
141,5f3ba61e3fd5b671b22006e8,5,cammarkt.com,d600,600,/,18208131877,nikond600,,80.0,,,,,1.68,762.0345599999999,CMOS,nikon
142,5f3ba61e3fd5b671b22006e9,6,cammarkt.com,"rebel xt\,rebelxt",,/,013803049626,canonrebelxt,,,4.98,12.6492,,9.4234,,680.3879999999999,CMOS,canon
143,5f3ba61e3fd5b671b22006f6,7,cammarkt.com,evnx300zbsvus,300,/,887276855400,samsungnxevnx300zbsvus,2,3.0,,,,,0.62,281.22704,,samsung
144,5f3ba61e3fd5b671b22006f7,8,cammarkt.com,k30,30,/,,pentaxk30,,,5.1,12.953999999999999,,9.7,,2195.38528,CMOS,pentax
145,5f3ba61e3fd5b671b2200701,9,cammarkt.com,d3100,3100,/,18208097982,nikond3100,,,4.9,12.446000000000002,,9.652,,453.592,CCD,nikon
146,5f3ba61e3fd5b671b220071d,10,cammarkt.com,kr,,/,,pentaxkr,,3.0,12.4,12.4,,9.7,,544.31 ,CMOS,pentax
147,5f3ba61e3fd5b671b2200731,11,cammarkt.com,e620,620,/,4046628147808,olympusevolte620,,,13.0,,,9.398000000000001,,476.27 ,Live MOS,olympus
148,5f3ba61e3fd5b671b2200736,12,cammarkt.com,d200,200,/,018208099955,nikond200,,,14.7,14.7,,11.176000000000002,,821.00152,CCD,nikon
149,5f3ba61e3fd5b671b2200746,13,cammarkt.com,d5000,5000,/,18208254781,nikond5000,,3.1,12.7,12.7,,9.7,,562.45 ,CMOS,nikon
150,5f3ba61e3fd5b671b220074d,14,cammarkt.com,dmcl1,1,/,5025232404179,panasonicdmcl1,,,5.74,14.579600000000001,,8.6868,,907.184,CMOS,panasonic
151,5f3ba61e3fd5b671b220074e,15,cammarkt.com,k30,30,/,,pentaxk30,,,,,,,589.67,589.67 ,CMOS,pentax
1883,5f3ba61e3fd5b671b22006a4,16,cammarkt.com,e420,420,/,050332163935,olympusevolte420,,,5.1,12.953999999999999,,9.144,,566.99,Live MOS,olympus
1884,5f3ba61e3fd5b671b22006a9,17,cammarkt.com,slta37k,37,/,,sonyalphaslta37k,,,,,,,,662.24432,CMOS,sony
1885,5f3ba61e3fd5b671b22006b6,18,cammarkt.com,d70s,70,/,999999003908,nikond70s,,,14.0,14,,11.43,,594.21 ,CCD,nikon
1886,5f3ba61e3fd5b671b22006b9,19,cammarkt.com,d5200,5200,/,,nikond5200,,,,,,,5.25,2381.3579999999997,CMOS,nikon
1887,5f3ba61e3fd5b671b22006c6,20,cammarkt.com,v2,2,/,,nikon1v2,,80.0,,,,,0.61,276.69112,CMOS,nikon
1888,5f3ba61e3fd5b671b22006cf,21,cammarkt.com,k30,30,/,,pentaxk30,,,,,,,589.67,589.67 ,CMOS,pentax
1889,5f3ba61e3fd5b671b22006d3,22,cammarkt.com,st200f,200,/,,samsungst200f,,10.0,3.92,9.9568,,5.8166,,335.65808,CCD,samsung
1890,5f3ba61e3fd5b671b22006f3,23,cammarkt.com,k3,3,/,,pentaxk3,,,5.2,13.208,,9.906,,1995.8048000000001,,pentax
1891,5f3ba61e3fd5b671b22006f9,24,cammarkt.com,30d,30,/,013803065114,canoneos30d,,,14.5,14.5,,10.7,,680.3879999999999,CMOS,canon
1892,5f3ba61e3fd5b671b220071b,25,cammarkt.com,d3100,3100,/,18208097982,nikond3100,,,4.9,12.446000000000002,,9.652,,453.592,CCD,nikon
1893,5f3ba61e3fd5b671b2200722,26,cammarkt.com,d300s,300,/,018208097401,nikond300s,,,5.8,14.732,,11.4,,852.7529599999999,CMOS,nikon
1894,5f3ba61e3fd5b671b2200728,27,cammarkt.com,t3i,3,/,845251029512,canoneosrebelt3i,,,,,,,,517.09488,CMOS,canon
1895,5f3ba61e3fd5b671b220072e,28,cammarkt.com,ep1,1,/,050332169821,olympuspenep1,,,12.1,12.1,,7,,349.27 ,Live MOS,olympus
