,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
0,1,www.price-hunt.com,v550,550,/,/,panasonichcv550,150,50,5.3,6.1,235.0,Bsi mos,panasonic
1,2,www.price-hunt.com,tz30,30,/,/,panasoniclumixdmctz30,4,20,10.49,5.89,206.0,Mos,panasonic
2,3,www.price-hunt.com,fh7,7,/,/,panasoniclumixdmcfh7,4,4,9.52,5.63,126.0,CCD,panasonic
3,4,www.price-hunt.com,w830,830,/,/,sonycybershotdscw830,32,8,9.31,5.25,104.0,CCD,sony
4,5,www.price-hunt.com,tg850,850,/,/,olympustg850,20,5,,,218.0,CMOS,olympus
5,6,www.price-hunt.com,tz35,35,/,/,panasoniclumixdmctz35,4,20,10.49,5.89,193.0,Mos,panasonic
6,7,www.price-hunt.com,t110,110,/,/,olympust110,4,3,9.3,6.0,135.0,CCD,olympus
7,8,www.price-hunt.com,5tl,5,/,/,sonynexnex5tl,4,,,,218.0,Exmor aps HD CMOS Sensor,sony
8,9,www.price-hunt.com,w310,310,/,/,sonycybershotdscw310,8,4,,,121.0,CCD,sony
9,10,www.price-hunt.com,a1400,1400,/,/,canonpowershota1400,4,5,9.47,6.17,174.0,CCD,canon
10,11,www.price-hunt.com,g15,15,/,/,canonpowershotg15,4,5,10.66,7.59,352.0,CMOS,canon
11,12,www.price-hunt.com,s3,3,/,/,panasoniclumixdmcs3,4,4,9.88,5.88,117.0,CCD,panasonic
12,13,www.price-hunt.com,ax650,650,/,/,fujifilmfinepixax650,7.2,5,9.3,6.02,168.0,CCD,fujifilm
13,14,www.price-hunt.com,tz18,18,/,/,panasoniclumixdmctz18,4,16,10.49,5.76,210.0,Mos,panasonic
14,15,www.price-hunt.com,w810,810,/,/,sonycybershotdscw810,,6,9.31,5.25,120.0,Super had CCD,sony
15,16,www.price-hunt.com,a4000,4000,/,/,canonpowershota4000,4,8,9.53,5.63,145.0,CCD,canon
16,17,www.price-hunt.com,d35,35,/,/,benqd35,10,,4.57,6.76,233.0,CMOS,benq
17,18,www.price-hunt.com,s01,01,/,/,nikoncoolpixs01,4,3,7.7,5.12,96.0,CCD,nikon
18,19,www.price-hunt.com,a57,57,/,/,sonyslta57,4,,13.21,9.75,539.0,HD CMOS,sony
19,20,www.price-hunt.com,j40,40,/,/,fujifilmfinepixj40,5.7,3,9.2,5.59,113.0,CCD,fujifilm
20,21,www.price-hunt.com,wg20,20,/,/,ricohwg20,6.7,5,11.55,5.85,164.0,CCD,ricoh
21,22,www.price-hunt.com,es80,80,/,/,samsunges80,1.0,5,9.7,5.8,124.0,CCD,samsung
22,23,www.price-hunt.com,d700,700,/,/,nikond700,,,14.7,12.3,995.0,CMOS,nikon
23,24,www.price-hunt.com,s3300,3300,/,/,fujifilmfinepixs3300,6.7,26,11.8,8.09,540.0,CCD,fujifilm
24,25,www.price-hunt.com,m1,1,/,/,olympusomdem1,,,13.04,9.35,497.0,Mos,olympus
25,26,www.price-hunt.com,a77v,77,/,/,sonyalphaslta77v,,,14.26,10.4,,Exmor aps HD CMOS,sony
26,27,www.price-hunt.com,sj4000,4000,/,/,yourdealsj4000,4,,,,100.0,CMOS,yourdeal
