,key,source,famer_brand_list,famer_model_list,famer_product_name,famer_opticalzoom,optical zoom,camera resolution
82,5f3ba61e3fd5b671b220045d,www.ukdigitalcameras.co.uk,sony,dscrx100,sonycybershotdscrx100,3.6,3.6,20.1 Megapixels
83,5f3ba61e3fd5b671b2200472,www.ukdigitalcameras.co.uk,nikon,s9700,nikoncoolpixs9700,30.0,30,16 Megapixels
84,5f3ba61e3fd5b671b220047e,www.ukdigitalcameras.co.uk,fuji,xp70,fujifinepixxp70,5.0,5,16.4 Megapixels
85,5f3ba61e3fd5b671b220047f,www.ukdigitalcameras.co.uk,nikon,d3200,nikond3200,,,24.2 Megapixels
86,5f3ba61e3fd5b671b2200487,www.ukdigitalcameras.co.uk,panasonic,tz55,panasoniclumixtz55,20.0,20,16 Megapixels
87,5f3ba61e3fd5b671b2200496,www.ukdigitalcameras.co.uk,canon,ixus265,canonixus265,12.0,12x,16 Megapixels
88,5f3ba61e3fd5b671b220049d,www.ukdigitalcameras.co.uk,nikon,s6400,nikoncoolpixs6400,12.0,12,16.0 Megapixels
89,5f3ba61e3fd5b671b220049e,www.ukdigitalcameras.co.uk,sony,dscwx350,sonycybershotdscwx350,20.0,20,18.2 Megapixels
90,5f3ba61e3fd5b671b22004aa,www.ukdigitalcameras.co.uk,olympus,tg3,olympusstylustoughtg3,4.0,4,16 Megapixels
91,5f3ba61e3fd5b671b22004ac,www.ukdigitalcameras.co.uk,olympus,sh1,olympussh1,24.0,24,16 Megapixels
92,5f3ba61e3fd5b671b22004c0,www.ukdigitalcameras.co.uk,sony,tx30,sonycybershottx30,5.0,5,18 Megapixels
1838,5f3ba61e3fd5b671b2200460,www.ukdigitalcameras.co.uk,panasonic,ft5,panasoniclumixft5,4.6,4.6x,16.1 Megapixels
1839,5f3ba61e3fd5b671b2200465,www.ukdigitalcameras.co.uk,olympus,tg850,olympustg850,5.0,5,16 Megapixels
1840,5f3ba61e3fd5b671b220046e,www.ukdigitalcameras.co.uk,samsung,gc100,samsunggalaxygc100,21.0,21,16 Megapixels
1841,5f3ba61e3fd5b671b220046f,www.ukdigitalcameras.co.uk,nikon,s3600,nikoncoolpixs3600,8.0,8,20 Megapixels
1842,5f3ba61e3fd5b671b2200479,www.ukdigitalcameras.co.uk,fuji,x100t,fujix100t,,,16 Megapixels
1843,5f3ba61e3fd5b671b2200484,www.ukdigitalcameras.co.uk,fuji,s9200,fujifinepixs9200,50.0,50,16.2 Megapixels
1844,5f3ba61e3fd5b671b220048c,www.ukdigitalcameras.co.uk,samsung,wb350f,samsungwb350f,21.0,21,16 Megapixels
1845,5f3ba61e3fd5b671b2200498,www.ukdigitalcameras.co.uk,nikon,s3600,nikoncoolpixs3600,8.0,8,20 Megapixels
1846,5f3ba61e3fd5b671b22004b4,www.ukdigitalcameras.co.uk,nikon,s9700,nikoncoolpixs9700,30.0,30,16 Megapixels
