,key,source,famer_brand_list,famer_model_list,famer_product_name,image sensor type,sensor type,famer_weight,weight,approx weight,dimensions wxhxd,approx dimensions,resolution
93,5f3ba61e3fd5b671b22004fe,www.camerafarm.com.au,nikon,j2,nikon1j2,CMOS,,,,,,,
94,5f3ba61e3fd5b671b2200501,www.camerafarm.com.au,samsung,ex2f,samsungex2f,,,,,,,,
95,5f3ba61e3fd5b671b2200523,www.camerafarm.com.au,nikon,s9600,nikoncoolpixs9600,,,,,,,,
96,5f3ba61e3fd5b671b2200524,www.camerafarm.com.au,canon,sx400isr,canonsx400isr,,,,,,,,
97,5f3ba61e3fd5b671b2200527,www.camerafarm.com.au,nikon,d800,nikond800,CMOS,,,,31.7 oz. (900g)\ncamera body only,,Width\: 5.7 in. (144.78mm)\nHeight\: 4.8 in. (121.92mm)\nDepth\: 3.2 in. (81.28mm),
98,5f3ba61e3fd5b671b220052f,www.camerafarm.com.au,canon,sx520hs,canonsx520hs,,,,,,,,
99,5f3ba61e3fd5b671b2200537,www.camerafarm.com.au,canon,7d,canoneos7d,,,,,,,,
100,5f3ba61e3fd5b671b2200538,www.camerafarm.com.au,canon,s120bk,canons120bk,,,,,,,,
101,5f3ba61e3fd5b671b2200542,www.camerafarm.com.au,nikon,aw120,nikoncoolpixaw120,,,,,,,,
102,5f3ba61e3fd5b671b220054d,www.camerafarm.com.au,fujifilm,mini8,fujifilminstaxmini8,,,,,,,,
1849,5f3ba61e3fd5b671b22004e4,www.camerafarm.com.au,nikon,aw1,nikon1aw1,CMOS,,,,,,,
1850,5f3ba61e3fd5b671b22004f1,www.camerafarm.com.au,nikon,p600,nikoncoolpixp600,,,,,,,,
1851,5f3ba61e3fd5b671b22004f9,www.camerafarm.com.au,nikon,d3100,nikond3100,,,,,,,,
1852,5f3ba61e3fd5b671b220050c,www.camerafarm.com.au,nikon,j3,nikon1j3,CMOS,,,,,,,
1853,5f3ba61e3fd5b671b2200514,www.camerafarm.com.au,canon,g16,canong16,,,,,,,,
1854,5f3ba61e3fd5b671b2200517,www.camerafarm.com.au,samsung,nx300,samsungnx300,,CMOS,,,,,,WVGA (800 x 48 ) 768k dots (Pentile)
1855,5f3ba61e3fd5b671b2200525,www.camerafarm.com.au,nikon,d7000,nikond7000,,,,,,,,
1856,5f3ba61e3fd5b671b2200531,www.camerafarm.com.au,sony,dsctx30b,sonydsctx30b,,,,,,,,
1857,5f3ba61e3fd5b671b2200536,www.camerafarm.com.au,nikon,d5100,nikond5100,CMOS,,,,19.7 oz. (560g)\ncamera body only,,Width 5.0 in. (127mm)\nHeight 3.8 in. (96.5mm)\nDepth 3.1 in. (78.7mm),
1858,5f3ba61e3fd5b671b220053e,www.camerafarm.com.au,nikon,j2,nikon1j2,CMOS,,,,,,,
1859,5f3ba61e3fd5b671b2200546,www.camerafarm.com.au,nikon,j2,nikon1j2,CMOS,,,,,,,
3640,5f3ba61e3fd5b671b22004e1,www.camerafarm.com.au,canon,ixus145bk,canonixus145bk,,,,Approx. 127 g (including battery/batteries and memory card),,95.2 x 54.3 x 22.1 mm,,
3641,5f3ba61e3fd5b671b22004e9,www.camerafarm.com.au,nikon,s3600,nikoncoolpixs3600,,,,,,,,
3642,5f3ba61e3fd5b671b22004f6,www.camerafarm.com.au,nikon,s2800,nikoncoolpixs2800,,,,,,,,
3643,5f3ba61e3fd5b671b22004ff,www.camerafarm.com.au,nikon,vna230ha,nikoncoolpixacameravna230ha,,,,,,,,
3644,5f3ba61e3fd5b671b2200504,www.camerafarm.com.au,canon,ixus145pr,canonixus145pr,,,,Approx. 127 g (including battery/batteries and memory card),,95.2 x 54.3 x 22.1 mm,,
3645,5f3ba61e3fd5b671b2200513,www.camerafarm.com.au,canon,70dsk,canon70dsk,,,755.0,,,139.0 x 104.3 x 78.5mm,,
3646,5f3ba61e3fd5b671b220051f,www.camerafarm.com.au,nikon,vna231ha,nikoncoolpixacameravna231ha,,,,,,,,
3647,5f3ba61e3fd5b671b2200543,www.camerafarm.com.au,nikon,j3,nikon1j3,CMOS,,,,,,,
3648,5f3ba61e3fd5b671b2200553,www.camerafarm.com.au,sony,dschx300,sonydschx300,,,,,,,,
5411,5f3ba61e3fd5b671b22004f0,www.camerafarm.com.au,nikon,s32,nikoncoolpixs32,,,,,,,,
5412,5f3ba61e3fd5b671b2200509,www.camerafarm.com.au,canon,ixus150gy,canonixus150gy,,,,Approx. 130 g (including battery/batteries and memory card),,95.2 x 54.3 x 22.1 mm,,
5413,5f3ba61e3fd5b671b220050d,www.camerafarm.com.au,canon,ixus155r,canonixus155r,,,,,,,,
5414,5f3ba61e3fd5b671b220051d,www.camerafarm.com.au,canon,ixus145r,canonixus145r,,,,Approx. 127 g (including battery/batteries and memory card),,95.2 x 54.3 x 22.1 mm,,
5415,5f3ba61e3fd5b671b2200532,www.camerafarm.com.au,nikon,d7000,nikond7000,,,,,,,,
5416,5f3ba61e3fd5b671b2200535,www.camerafarm.com.au,nikon,l830,nikoncoolpixl830,,,,,,,,
5417,5f3ba61e3fd5b671b2200545,www.camerafarm.com.au,nikon,s3600,nikoncoolpixs3600,,,,,,,,
7123,5f3ba61e3fd5b671b22004eb,www.camerafarm.com.au,sony,w830,sonycybershotw830,,,,,,,,
7124,5f3ba61e3fd5b671b2200505,www.camerafarm.com.au,canon,600d,canoneos600d,,,,,,,,
7125,5f3ba61e3fd5b671b220050b,www.camerafarm.com.au,samsung,nx300,samsungnx300,,CMOS,,,,,,WVGA ( 800 x 480 ) 768k dots (Pentile)
7126,5f3ba61e3fd5b671b2200518,www.camerafarm.com.au,canon,70d,canoneos70d,,,755.0,,,139.0 x 104.3 x 78.5mm,,
7127,5f3ba61e3fd5b671b2200519,www.camerafarm.com.au,samsung,nx300,samsungnx300,,CMOS,,,,,,WVGA ( 800 x 480 ) 768k dots (Pentile)
7128,5f3ba61e3fd5b671b2200551,www.camerafarm.com.au,canon,sx170,canonpowershotsx170,,,,,,,,
8846,5f3ba61e3fd5b671b22004dd,www.camerafarm.com.au,canon,70d,canoneos70d,,,755.0,,,139.0 x 104.3 x 78.5mm,,
8847,5f3ba61e3fd5b671b22004ed,www.camerafarm.com.au,nikon,s9600,nikoncoolpixs9600,,,,,,,,
8848,5f3ba61e3fd5b671b22004f4,www.camerafarm.com.au,nikon,p7800,nikoncoolpixp7800,,,,,,,,
8849,5f3ba61e3fd5b671b220050f,www.camerafarm.com.au,nikon,d5100,nikond5100,CMOS,,,,19.7 oz. (560g)\ncamera body only,,Width 5.0 in. (127mm)\nHeight 3.8 in. (96.5mm)\nDepth 3.1 in. (78.7mm),
8850,5f3ba61e3fd5b671b220051c,www.camerafarm.com.au,canon,70dkis,canon70dkis,,,755.0,,,139.0 x 104.3 x 78.5mm,,
8851,5f3ba61e3fd5b671b220052d,www.camerafarm.com.au,canon,1100d,canoneos1100d,,,,,,,,
8852,5f3ba61e3fd5b671b2200533,www.camerafarm.com.au,canon,600d,canoneos600d,,,,,,,,
8853,5f3ba61e3fd5b671b2200534,www.camerafarm.com.au,canon,sx600hsr,canonsx600hsr,,,,,,,,
8854,5f3ba61e3fd5b671b2200548,www.camerafarm.com.au,canon,1100d,canoneos1100d,,,,,,,,
8855,5f3ba61e3fd5b671b220054b,www.camerafarm.com.au,nikon,aw120,nikoncoolpixaw120,,,,,,,,
8856,5f3ba61e3fd5b671b2200550,www.camerafarm.com.au,nikon,s6800,nikoncoolpixs6800,,,,,,,,
10604,5f3ba61e3fd5b671b22004e3,www.camerafarm.com.au,sony,dschx60v,sonydschx60v,,,,,,,,
10605,5f3ba61e3fd5b671b22004f3,www.camerafarm.com.au,samsung,2,samsunggalaxycamera2,,,,,,,,
