key,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
5f3ba61e3fd5b671b220016c,1,www.garricks.com.au,df,,/,/,nikondfdslr,/,/,/,/,900,CMOS,nikon
5f3ba61e3fd5b671b2200179,2,www.garricks.com.au,em5,5,/,/,olympusomdem5,/,/,/,/,,CMOS,olympus
5f3ba61e3fd5b671b220017a,3,www.garricks.com.au,6d,6,/,/,canoneos6d,/,/,/,/,690,CMOS,canon
5f3ba61e3fd5b671b22001a0,4,www.garricks.com.au,a77,77,/,/,sonya77,/,/,/,/,,CMOS,sony
5f3ba61e3fd5b671b22001a4,5,www.garricks.com.au,ep5,5,/,/,olympuspenep5,/,/,/,/,,CMOS,olympus
5f3ba61e3fd5b671b22001a8,6,www.garricks.com.au,d5300,5300,/,/,nikond5300,/,/,/,/,,CMOS,nikon
5f3ba61e3fd5b671b22001ad,7,www.garricks.com.au,stylus1,1,/,/,olympusstylus1,/,/,/,/,,CMOS,olympus
5f3ba61e3fd5b671b22001af,8,www.garricks.com.au,em10,10,/,/,olympusomdem10,/,/,/,/,,CMOS,olympus
5f3ba61e3fd5b671b22001ca,9,www.garricks.com.au,tg630,630,/,/,olympustg630,/,/,/,/,480,CMOS,olympus
5f3ba61e3fd5b671b22001d1,10,www.garricks.com.au,dmclx7,7,/,/,panasoniclumixdmclx7,/,/,/,/,,CMOS,panasonic
5f3ba61e3fd5b671b220015b,11,www.garricks.com.au,d800,800,/,/,nikond800,/,/,/,/,900,CMOS,nikon
5f3ba61e3fd5b671b2200161,12,www.garricks.com.au,dschx50,50,/,/,sonydschx50,/,/,/,/,,CMOS,sony
5f3ba61e3fd5b671b220016d,13,www.garricks.com.au,d5300,5300,/,/,nikond5300,/,/,/,/,,CMOS,nikon
5f3ba61e3fd5b671b2200171,14,www.garricks.com.au,ep5,5,/,/,olympuspenep5,/,/,/,/,,CMOS,olympus
5f3ba61e3fd5b671b2200173,15,www.garricks.com.au,5d,5-3,/,/,canoneos5d,/,/,/,/,,CMOS,canon
5f3ba61e3fd5b671b220017b,16,www.garricks.com.au,a65,65,/,/,sonya65,/,/,/,/,,CMOS,sony
5f3ba61e3fd5b671b220017c,17,www.garricks.com.au,em5,5,/,/,olympusomdem5,/,/,/,/,,CMOS,olympus
5f3ba61e3fd5b671b2200185,18,www.garricks.com.au,epl5,5,/,/,olympuspenepl5,/,/,/,/,,CMOS,olympus
5f3ba61e3fd5b671b2200198,19,www.garricks.com.au,600d,600,/,/,canoneos600d,/,/,/,/,,CMOS,canon
5f3ba61e3fd5b671b22001a6,20,www.garricks.com.au,v2,2,/,/,nikonv2,/,/,/,/,,CMOS,nikon
5f3ba61e3fd5b671b22001aa,21,www.garricks.com.au,g1x,1,/,/,canonpowershotg1x,/,/,/,/,,CMOS,canon
5f3ba61e3fd5b671b22001b7,22,www.garricks.com.au,s200,200,/,/,canonpowershots200,/,/,/,/,,CCD,canon
5f3ba61e3fd5b671b22001ba,23,www.garricks.com.au,a6000,6000,/,/,sonyalphaa6000,/,/,/,/,,CMOS,sony
5f3ba61e3fd5b671b22001c1,24,www.garricks.com.au,a7r,7,/,/,sonyalphaa7r,/,/,/,/,,CMOS,sony
5f3ba61e3fd5b671b22001c2,25,www.garricks.com.au,s9600,9600,/,/,nikoncoolpixs9600,/,/,/,/,,CMOS,nikon
5f3ba61e3fd5b671b22001d7,26,www.garricks.com.au,d7100,7100,/,/,nikond7100,/,/,/,/,,CMOS,nikon
5f3ba61e3fd5b671b220015c,27,www.garricks.com.au,ep5,5,/,/,olympuspenep5,/,/,/,/,,CMOS,olympus
5f3ba61e3fd5b671b220015f,28,www.garricks.com.au,xs1,1,/,/,panasonicxs1,/,/,/,/,,CCD,panasonic
5f3ba61e3fd5b671b2200162,29,www.garricks.com.au,d7000,7000,/,/,nikond7000,/,/,/,/,,CMOS,nikon
5f3ba61e3fd5b671b220016b,30,www.garricks.com.au,d3300,3300,/,/,nikond3300,/,/,/,/,,CMOS,nikon
5f3ba61e3fd5b671b2200174,31,www.garricks.com.au,d5300,5300,/,/,nikond5300,/,/,/,/,,CMOS,nikon
5f3ba61e3fd5b671b2200194,32,www.garricks.com.au,8g,8,/,/,nikondfdslrwithafsf18g,/,/,/,/,900,CMOS,nikon
5f3ba61e3fd5b671b220019a,33,www.garricks.com.au,epl5,5,/,/,olympuspenepl5,/,/,/,/,,CMOS,olympus
5f3ba61e3fd5b671b22001a5,34,www.garricks.com.au,em10,10,/,/,olympusomdem10,/,/,/,/,,CMOS,olympus
