,key,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
93,5f3ba61e3fd5b671b22004fe,1,www.camerafarm.com.au,j2,2,/,/,nikon1j2,/,/,0.0,0.0,,CMOS,nikon
94,5f3ba61e3fd5b671b2200501,2,www.camerafarm.com.au,ex2f,2,/,/,samsungex2f,/,/,0.0,0.0,,,samsung
95,5f3ba61e3fd5b671b2200523,3,www.camerafarm.com.au,s9600,9600,/,/,nikoncoolpixs9600,/,/,0.0,0.0,,,nikon
96,5f3ba61e3fd5b671b2200524,4,www.camerafarm.com.au,sx400isr,400,/,/,canonsx400isr,/,/,0.0,0.0,,,canon
97,5f3ba61e3fd5b671b2200527,5,www.camerafarm.com.au,d800,800,/,/,nikond800,/,/,0.0,0.0,900,CMOS,nikon
98,5f3ba61e3fd5b671b220052f,6,www.camerafarm.com.au,sx520hs,520,/,/,canonsx520hs,/,/,0.0,0.0,,,canon
99,5f3ba61e3fd5b671b2200537,7,www.camerafarm.com.au,7d,7,/,/,canoneos7d,/,/,0.0,0.0,,,canon
100,5f3ba61e3fd5b671b2200538,8,www.camerafarm.com.au,s120bk,120,/,/,canons120bk,/,/,0.0,0.0,,,canon
101,5f3ba61e3fd5b671b2200542,9,www.camerafarm.com.au,aw120,120,/,/,nikoncoolpixaw120,/,/,0.0,0.0,,,nikon
102,5f3ba61e3fd5b671b220054d,10,www.camerafarm.com.au,mini8,8,/,/,fujifilminstaxmini8,/,/,0.0,0.0,,,fujifilm
1849,5f3ba61e3fd5b671b22004e4,11,www.camerafarm.com.au,aw1,1,/,/,nikon1aw1,/,/,0.0,0.0,,CMOS,nikon
1850,5f3ba61e3fd5b671b22004f1,12,www.camerafarm.com.au,p600,600,/,/,nikoncoolpixp600,/,/,0.0,0.0,,,nikon
1851,5f3ba61e3fd5b671b22004f9,13,www.camerafarm.com.au,d3100,3100,/,/,nikond3100,/,/,0.0,0.0,,,nikon
1852,5f3ba61e3fd5b671b220050c,14,www.camerafarm.com.au,j3,3,/,/,nikon1j3,/,/,0.0,0.0,,CMOS,nikon
1853,5f3ba61e3fd5b671b2200514,15,www.camerafarm.com.au,g16,16,/,/,canong16,/,/,0.0,0.0,,,canon
