key,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
5f3ba61e3fd5b671b22000ce,1,www.wexphotographic.com,s3600,3600,/,/,nikoncoolpixs3600,/,8.0,9.7,5.8,125.0,CCD,nikon
5f3ba61e3fd5b671b22000d1,2,www.wexphotographic.com,w830,830,/,/,sonycybershotw830,/,8.0,9.31,5.25,,CCD,sony
5f3ba61e3fd5b671b22000d2,3,www.wexphotographic.com,sx510,510,/,/,canonpowershotsx510,/,30.0,10.4,6.95,349.0,CMOS,canon
5f3ba61e3fd5b671b22000d6,4,www.wexphotographic.com,ixus265,265,/,/,canonixus265,/,12.0,9.97,5.76,147.0,CMOS,canon
5f3ba61e3fd5b671b22000d9,5,www.wexphotographic.com,gr,,/,/,ricohgr,/,0.0,11.7,6.1,245.0,CMOS,ricoh
5f3ba61e3fd5b671b22000e8,6,www.wexphotographic.com,dmclz40,40,/,/,panasoniclumixdmclz40,/,42.0,12.64,8.66,498.0,CCD,panasonic
5f3ba61e3fd5b671b22000eb,7,www.wexphotographic.com,sh1,1,/,/,olympusstylussh1,/,24.0,10.9,6.3,271.0,BSI CMOS,olympus
5f3ba61e3fd5b671b22000f7,8,www.wexphotographic.com,qx10,10,/,/,sonycybershotqx10,/,10.0,6.24,6.18,105.0,CMOS,sony
5f3ba61e3fd5b671b2200106,9,www.wexphotographic.com,rx1r,1,/,/,sonycybershotrx1r,/,0.0,11.33,6.54,482.0,CMOS,sony
5f3ba61e3fd5b671b220010b,10,www.wexphotographic.com,s9200,9200,/,/,fujifinepixs9200,/,50.0,0.0,0.0,670.0,CMOS,fuji
5f3ba61e3fd5b671b220010f,11,www.wexphotographic.com,hx60,60,/,/,sonycybershothx60,/,30.0,10.81,6.36,272.0,CMOS,sony
5f3ba61e3fd5b671b2200119,12,www.wexphotographic.com,dmctz55,55,/,/,panasoniclumixdmctz55,/,20.0,10.68,6.22,224.0,MOS,panasonic
5f3ba61e3fd5b671b220011b,13,www.wexphotographic.com,dmclf1,1,/,/,panasoniclumixdmclf1,/,7.1,10.3,6.2,170.0,MOS,panasonic
5f3ba61e3fd5b671b220011e,14,www.wexphotographic.com,s8600,8600,/,/,fujifinepixs8600,/,36.0,12.1,8.1,450.0,CCD,fuji
5f3ba61e3fd5b671b220011f,15,www.wexphotographic.com,s1,1,/,/,fujifinepixs1,/,50.0,13.3,9.09,680.0,CMOS,fuji
5f3ba61e3fd5b671b2200125,16,www.wexphotographic.com,x100t,100,/,/,fujix100t,/,0.0,12.65,7.44,400.0,CMOS,fuji
5f3ba61e3fd5b671b220012d,17,www.wexphotographic.com,wg4,4,/,/,ricohwg4,/,4.0,12.5,6.45,209.0,CMOS,ricoh
5f3ba61e3fd5b671b2200148,18,www.wexphotographic.com,dmcfz200,200,/,/,panasoniclumixdmcfz200,/,24.0,12.5,8.7,540.0,CMOS,panasonic
5f3ba61e3fd5b671b2200149,19,www.wexphotographic.com,s9700,9700,/,/,nikoncoolpixs9700,/,30.0,10.96,6.35,228.0,CMOS,nikon
5f3ba61e3fd5b671b220014b,20,www.wexphotographic.com,dmctz60,60,/,/,panasoniclumixdmctz60,/,30.0,11.06,3.44,214.0,MOS,panasonic
5f3ba61e3fd5b671b2200150,21,www.wexphotographic.com,s32,32,/,/,nikoncoolpixs32,/,3.0,10.76,6.61,175.0,CMOS,nikon
5f3ba61e3fd5b671b2200153,22,www.wexphotographic.com,g1,1-2,/,/,canonpowershotg1,/,5.0,11.63,7.4,558.0,CMOS,canon
5f3ba61e3fd5b671b22000d0,23,www.wexphotographic.com,sx600,600,/,/,canonpowershotsx600,/,18.0,10.38,6.1,188.0,CMOS,canon
5f3ba61e3fd5b671b22000db,24,www.wexphotographic.com,coolpix,,/,/,nikoncoolpixa,/,0.0,11.1,6.4,299.0,CMOS,nikon
5f3ba61e3fd5b671b22000e5,25,www.wexphotographic.com,wb2200f,2200,/,/,samsungwb2200f,/,60.0,11.9,12.2,608.0,CCD,samsung
5f3ba61e3fd5b671b22000e6,26,www.wexphotographic.com,xp70,70,/,/,fujifinepixxp70,/,5.0,10.4,6.7,179.0,CMOS,fuji
5f3ba61e3fd5b671b22000e7,27,www.wexphotographic.com,s3600,3600,/,/,nikoncoolpixs3600,/,8.0,9.7,5.8,125.0,CCD,nikon
5f3ba61e3fd5b671b22000ee,28,www.wexphotographic.com,g7,7,/,/,canonpowershotg7,/,4.2,10.3,6.04,279.0,CMOS,canon
5f3ba61e3fd5b671b2200110,29,www.wexphotographic.com,qx100,100,/,/,sonycybershotqx100,/,3.6,6.25,6.25,179.0,CMOS,sony
5f3ba61e3fd5b671b2200117,30,www.wexphotographic.com,powershot,,/,/,canonpowershotn,/,8.0,7.86,6.02,195.0,CMOS,canon
5f3ba61e3fd5b671b2200124,31,www.wexphotographic.com,z340,340,/,/,polaroidz340,/,0.0,0.0,0.0,,,polaroid
5f3ba61e3fd5b671b2200140,32,www.wexphotographic.com,rx100,100,/,/,sonycybershotrx100,/,3.6,10.2,5.9,213.0,CMOS,sony
5f3ba61e3fd5b671b220014f,33,www.wexphotographic.com,h400,400,/,/,sonycybershoth400,/,63.0,12.96,9.5,655.0,CMOS,sony
5f3ba61e3fd5b671b22000d8,34,www.wexphotographic.com,wb1100f,1100,/,/,samsungwb1100f,/,35.0,12.4,8.6,462.0,CCD,samsung
5f3ba61e3fd5b671b22000dc,35,www.wexphotographic.com,s9700,9700,/,/,nikoncoolpixs9700,/,30.0,10.96,6.35,228.0,CMOS,nikon
5f3ba61e3fd5b671b22000f8,36,www.wexphotographic.com,l330,330,/,/,nikoncoolpixl330,/,26.0,11.1,7.6,430.0,CCD,nikon
5f3ba61e3fd5b671b22000fb,37,www.wexphotographic.com,s5300,5300,/,/,nikoncoolpixs5300,/,8.0,9.7,5.8,138.0,CMOS,nikon
5f3ba61e3fd5b671b2200114,38,www.wexphotographic.com,sh60,60,/,/,olympusstylussh60,/,24.0,0.0,0.0,269.0,CMOS,olympus
5f3ba61e3fd5b671b2200115,39,www.wexphotographic.com,s6800,6800,/,/,nikoncoolpixs6800,/,23.0,9.7,5.8,145.0,CMOS,nikon
5f3ba61e3fd5b671b220011c,40,www.wexphotographic.com,wx350,350,/,/,sonycybershotwx350,/,20.0,9.6,5.49,164.0,CMOS,sony
5f3ba61e3fd5b671b220012b,41,www.wexphotographic.com,tg850,850,/,/,olympusstylustoughtg850,/,5.0,10.9,6.4,218.0,CMOS,olympus
5f3ba61e3fd5b671b2200147,42,www.wexphotographic.com,p340,340,/,/,nikoncoolpixp340,/,5.0,10.3,5.83,194.0,CMOS,nikon
5f3ba61e3fd5b671b2200152,43,www.wexphotographic.com,s6700,6700,/,/,nikoncoolpixs6700,/,10.0,9.5,5.8,137.0,CCD,nikon
5f3ba61e3fd5b671b2200156,44,www.wexphotographic.com,s01,01,/,/,nikoncoolpixs01,/,3.0,7.7,5.1,96.0,CCD,nikon
5f3ba61e3fd5b671b22000c7,45,www.wexphotographic.com,wg4,4,/,/,ricohwg4,/,4.0,12.5,6.45,209.0,CMOS,ricoh
5f3ba61e3fd5b671b22000ca,46,www.wexphotographic.com,g16,16,/,/,canonpowershotg16,/,5.0,10.88,7.59,356.0,CMOS,canon
5f3ba61e3fd5b671b22000cd,47,www.wexphotographic.com,dmcfz72,72,/,/,panasoniclumixdmcfz72,/,60.0,13.02,9.7,6.6,MOS,panasonic
5f3ba61e3fd5b671b22000d4,48,www.wexphotographic.com,s3600,3600,/,/,nikoncoolpixs3600,/,8.0,9.7,5.8,125.0,CCD,nikon
5f3ba61e3fd5b671b22000ec,49,www.wexphotographic.com,rx100,100-3,/,/,sonycybershotrx100,/,2.9,10.2,5.8,290.0,Exmor R CMOS Sensor,sony
5f3ba61e3fd5b671b2200100,50,www.wexphotographic.com,p600,600,/,/,nikoncoolpixp600,/,60.0,2.5,8.5,565.0,CMOS,nikon
5f3ba61e3fd5b671b2200101,51,www.wexphotographic.com,p600,600,/,/,nikoncoolpixp600,/,60.0,2.5,8.5,565.0,CMOS,nikon
5f3ba61e3fd5b671b220010e,52,www.wexphotographic.com,sx520,520,/,/,canonpowershotsx520,/,42.0,12.0,8.17,441.0,1/2.3 type back-illuminated CMOS,canon
5f3ba61e3fd5b671b2200120,53,www.wexphotographic.com,wb50f,50,/,/,samsungwb50f,/,12.0,10.1,6.8,157.0,CCD,samsung
5f3ba61e3fd5b671b2200121,54,www.wexphotographic.com,hx400,400,/,/,sonycybershothx400,/,50.0,12.96,9.32,633.0,CMOS,sony
5f3ba61e3fd5b671b2200123,55,www.wexphotographic.com,coolpix,,/,/,nikoncoolpixa,/,0.0,11.1,6.4,299.0,CMOS,nikon
5f3ba61e3fd5b671b220012a,56,www.wexphotographic.com,dmclx100,100,/,/,panasoniclumixdmclx100,/,3.1,11.6,7.4,553.0,CMOS,panasonic
5f3ba61e3fd5b671b2200131,57,www.wexphotographic.com,dp2,2,/,/,sigmadp2,/,0.0,12.2,6.7,330.0,CMOS,sigma
5f3ba61e3fd5b671b2200134,58,www.wexphotographic.com,gr,,/,/,ricohgr,/,0.0,11.7,6.1,245.0,CMOS,ricoh
5f3ba61e3fd5b671b220013b,59,www.wexphotographic.com,dp3,3,/,/,sigmadp3,/,0.0,12.2,6.7,400.0,CMOS,sigma
5f3ba61e3fd5b671b2200145,60,www.wexphotographic.com,dmctz55,55,/,/,panasoniclumixdmctz55,/,20.0,10.68,6.22,224.0,MOS,panasonic
5f3ba61e3fd5b671b2200146,61,www.wexphotographic.com,x5,5,/,/,pentaxx5,/,26.0,11.9,8.6,595.0,CMOS,pentax
5f3ba61e3fd5b671b220014d,62,www.wexphotographic.com,x30,30,/,/,fujix30,/,4.0,11.87,7.16,383.0,CMOS,fuji
5f3ba61e3fd5b671b220014e,63,www.wexphotographic.com,s9200,9200,/,/,fujifinepixs9200,/,50.0,0.0,0.0,670.0,CMOS,fuji
5f3ba61e3fd5b671b22000c6,64,www.wexphotographic.com,wg20,20,/,/,ricohwg20,/,5.0,11.55,5.85,143.0,CCD,ricoh
5f3ba61e3fd5b671b22000c9,65,www.wexphotographic.com,s6800,6800,/,/,nikoncoolpixs6800,/,23.0,9.7,5.8,145.0,CMOS,nikon
5f3ba61e3fd5b671b22000dd,66,www.wexphotographic.com,aw120,120,/,/,nikoncoolpixaw120,/,5.0,11.0,6.6,213.0,CMOS,nikon
5f3ba61e3fd5b671b22000ed,67,www.wexphotographic.com,p340,340,/,/,nikoncoolpixp340,/,5.0,10.3,5.83,194.0,CMOS,nikon
5f3ba61e3fd5b671b22000f2,68,www.wexphotographic.com,ixus265,265,/,/,canonixus265,/,12.0,9.97,5.76,147.0,CMOS,canon
5f3ba61e3fd5b671b2200102,69,www.wexphotographic.com,x100s,100,/,/,fujifinepixx100s,/,0.0,12.7,7.4,405.0,CMOS,fuji
5f3ba61e3fd5b671b2200103,70,www.wexphotographic.com,hs50,50,/,/,fujifinepixhs50,/,42.0,13.5,10.1,758.0,CMOS,fuji
5f3ba61e3fd5b671b220010a,71,www.wexphotographic.com,sx600,600,/,/,canonpowershotsx600,/,18.0,10.38,6.1,188.0,CMOS,canon
5f3ba61e3fd5b671b2200118,72,www.wexphotographic.com,ixus265,265,/,/,canonixus265,/,12.0,9.97,5.76,147.0,CMOS,canon
5f3ba61e3fd5b671b2200122,73,www.wexphotographic.com,tg850,850,/,/,olympusstylustoughtg850,/,5.0,10.9,6.4,218.0,CMOS,olympus
5f3ba61e3fd5b671b2200127,74,www.wexphotographic.com,s6800,6800,/,/,nikoncoolpixs6800,/,23.0,9.7,5.8,145.0,CMOS,nikon
5f3ba61e3fd5b671b2200128,75,www.wexphotographic.com,tg3,3,/,/,olympusstylustoughtg3,/,4.0,11.1,6.6,247.0,BSI CMOS,olympus
5f3ba61e3fd5b671b220012c,76,www.wexphotographic.com,s32,32,/,/,nikoncoolpixs32,/,3.0,10.76,6.61,175.0,CMOS,nikon
5f3ba61e3fd5b671b220012e,77,www.wexphotographic.com,tg850,850,/,/,olympusstylustoughtg850,/,5.0,10.9,6.4,218.0,CMOS,olympus
5f3ba61e3fd5b671b2200133,78,www.wexphotographic.com,s6800,6800,/,/,nikoncoolpixs6800,/,23.0,9.7,5.8,145.0,CMOS,nikon
5f3ba61e3fd5b671b2200136,79,www.wexphotographic.com,s3600,3600,/,/,nikoncoolpixs3600,/,8.0,9.7,5.8,125.0,CCD,nikon
5f3ba61e3fd5b671b2200139,80,www.wexphotographic.com,dp2,2,/,/,sigmadp2,/,0.0,16.1,6.7,410.0,Foveon X3 Direct Image Sensor (CMOS,sigma
5f3ba61e3fd5b671b220014a,81,www.wexphotographic.com,wb350f,350,/,/,samsungwb350f,/,21.0,11.4,6.5,276.0,CMOS,samsung
5f3ba61e3fd5b671b22000f9,82,www.wexphotographic.com,dmctz55,55,/,/,panasoniclumixdmctz55,/,20.0,10.68,6.22,224.0,MOS,panasonic
5f3ba61e3fd5b671b2200104,83,www.wexphotographic.com,x100s,100,/,/,fujifinepixx100s,/,0.0,12.7,7.4,405.0,CMOS,fuji
5f3ba61e3fd5b671b2200129,84,www.wexphotographic.com,sx700,700,/,/,canonpowershotsx700,/,30.0,11.27,6.58,269.0,CMOS,canon
5f3ba61e3fd5b671b2200135,85,www.wexphotographic.com,dmcfz1000,1000,/,/,panasoniclumixdmcfz1000,/,16.0,13.7,9.9,831.0,CMOS,panasonic
5f3ba61e3fd5b671b2200141,86,www.wexphotographic.com,wg20,20,/,/,ricohwg20,/,5.0,11.55,5.85,143.0,CCD,ricoh
5f3ba61e3fd5b671b2200142,87,www.wexphotographic.com,dmcfz72,72,/,/,panasoniclumixdmcfz72,/,60.0,13.02,9.7,606.0,MOS,panasonic
5f3ba61e3fd5b671b2200144,88,www.wexphotographic.com,dp1,1,/,/,sigmadp1,/,0.0,12.2,6.8,340.0,CMOS,sigma
5f3ba61e3fd5b671b2200151,89,www.wexphotographic.com,xq1,1,/,/,fujifinepixxq1,/,4.0,10.0,5.85,206.0,CMOS,fuji
5f3ba61e3fd5b671b2200157,90,www.wexphotographic.com,sh1,1,/,/,olympusstylussh1,/,24.0,10.9,6.3,271.0,BSI CMOS,olympus
5f3ba61e3fd5b671b22000d5,91,www.wexphotographic.com,wb35f,35,/,/,samsungwb35f,/,12.0,10.1,6.1,142.0,CCD,samsung
5f3ba61e3fd5b671b22000da,92,www.wexphotographic.com,s9700,9700,/,/,nikoncoolpixs9700,/,30.0,10.96,6.35,228.0,CMOS,nikon
