,key,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
274,5f3ba61f3fd5b671b2200d22,1,www.gosale.com,dscs750,750,dscs750,"0027242724945\,00027242724945\,027242724945",sonycybershotdscs750,/,,/,/,453.592,/,sony
275,5f3ba61f3fd5b671b2200d24,2,www.gosale.com,d7100,7100,,"0018208015139\,018208015139",nikond7100,/,,/,/,,/,nikon
276,5f3ba61f3fd5b671b2200d5a,3,www.gosale.com,xe2,2,fujifilm x-e2 b,"0074101023442\,074101023442",fujifilmxe2,/,,/,/,,/,fujifilm
277,5f3ba61f3fd5b671b2200d5c,4,www.gosale.com,d70s,70,25218,"0018208252183\,00018208252183\,018208252183",nikond70s,/,,/,/,1814.368,/,nikon
278,5f3ba61f3fd5b671b2200d76,5,www.gosale.com,m583,583,,"0041778287477\,041778287477",kodakm583,/,,/,/,,/,kodak
279,5f3ba61f3fd5b671b2200d78,6,www.gosale.com,dscw150,150,dscw150/r,"0027242726727\,027242726727",sonycybershotdscw150,/,,/,/,453.592,/,sony
280,5f3ba61f3fd5b671b2200d7e,7,www.gosale.com,dschx300,300,,"0175825127109\,175825127109",sonycybershotdschx300,/,,/,/,,/,sony
281,5f3ba61f3fd5b671b2200d8c,8,www.gosale.com,a720is,720,2092b001,"0013803084092\,00013803084092\,013803084092",canonpowershota720is,/,,/,/,907.184,/,canon
282,5f3ba61f3fd5b671b2200d96,9,www.gosale.com,dmcgf2,2,dmc-gf2kk,"0885170033603\,885170033603",panasoniclumixdmcgf2,/,,/,/,,/,panasonic
283,5f3ba61f3fd5b671b2200da9,10,www.gosale.com,s6400,6400,,"0018208263530\,018208263530",nikoncoolpixs6400,/,,/,/,,/,nikon
284,5f3ba61f3fd5b671b2200dd8,11,www.gosale.com,xz1,1,xz-1 black 2280,"0662425800773\,662425800773",olympusxz1,/,,/,/,,/,olympus
285,5f3ba61f3fd5b671b2200dd9,12,www.gosale.com,s3300,3300,,"0018208263103\,018208263103",nikoncoolpixs3300,/,,/,/,,/,nikon
286,5f3ba61f3fd5b671b2200ddd,13,www.gosale.com,d80,80,,"0018208094059\,00018208094059\,018208094059",nikond80,/,,/,/,2721.5519999999997,/,nikon
287,5f3ba61f3fd5b671b2200ded,14,www.gosale.com,dmcfs3a,3,b0011z6cws,"0037988987283\,00037988987283\,037988987283",panasoniclumixdmcfs3a,/,,/,/,453.592,/,panasonic
288,5f3ba61f3fd5b671b2200df5,15,www.gosale.com,g15,15,6350b001,"0013803156805\,013803156805",canonpowershotg15,/,,/,/,,/,canon
289,5f3ba61f3fd5b671b2200dfe,16,www.gosale.com,k01,01,k-01 lens kit w,"0027075214590\,027075214590",pentaxk01,/,,/,/,,/,pentax
290,5f3ba61f3fd5b671b2200e20,17,www.gosale.com,d10,10,,"0013803107807\,00013803107807\,013803107807",canonpowershotd10,/,,/,/,,/,canon
291,5f3ba61f3fd5b671b2200e25,18,www.gosale.com,sd870is,870,2340b001,"0013803085136\,00013803085136\,013803085136",canonpowershotsd870is,/,,/,/,907.184,/,canon
292,5f3ba61f3fd5b671b2200e42,19,www.gosale.com,nex7,7,,"0662425821433\,662425821433",sonyalphanex7,/,,/,/,,/,sony
293,5f3ba61f3fd5b671b2200e44,20,www.gosale.com,ts4,4,dmc-ts4d bundle,"0662425823888\,662425823888",panasoniclumixts4,/,,/,/,,/,panasonic
294,5f3ba61f3fd5b671b2200e6e,21,www.gosale.com,a610,610,powershot a610,"0013803054033\,00013803054033\,013803054033",canonpowershota610,/,,/,/,1360.7759999999998,/,canon
295,5f3ba61f3fd5b671b2200e7a,22,www.gosale.com,70d,70,8469b016,"0013803221633\,013803221633",canoneos70d,/,,/,/,,/,canon
296,5f3ba61f3fd5b671b2200e80,23,www.gosale.com,gc110,110,ek-gc110zwaxar,"0616932802188\,616932802188",samsunggc110,/,,/,/,,/,samsung
297,5f3ba61f3fd5b671b2200e95,24,www.gosale.com,dschx5v,5,,"0027242776630\,00027242776630\,027242776630",sonycybershotdschx5v,/,10.0,/,/,,/,sony
298,5f3ba61f3fd5b671b2200e9f,25,www.gosale.com,slta77,77,slt-a77,"0662425833498\,662425833498",sonyalphaslta77,/,,/,/,,/,sony
299,5f3ba61f3fd5b671b2200ea9,26,www.gosale.com,dp1,1,,"0085126924997\,00085126924997\,085126924997",sigmadp1,/,,/,/,907.184,/,sigma
300,5f3ba61f3fd5b671b2200eb7,27,www.gosale.com,sd500,500,sd500 digital e,"""0013803044218""\,""0013803048421""\,00013803048421\,""013803044218""\,""013803048421""",canonpowershotsd500,/,,/,/,226.796,/,canon
301,5f3ba61f3fd5b671b2200ec4,28,www.gosale.com,sx20is,20,sx20is,"0013803113662\,00013803113662\,013803113662",canonpowershotsx20is,/,20.0,/,/,,/,canon
302,5f3ba61f3fd5b671b2200ed8,29,www.gosale.com,a400,400,6000004427,"0074101400908\,00074101400908\,074101400908",fujifilmfinepixa400,/,,/,/,907.184,/,fujifilm
303,5f3ba61f3fd5b671b2200ede,30,www.gosale.com,l5,5,,"0018208255504\,00018208255504\,018208255504",nikoncoolpixl5,/,,/,/,907.184,/,nikon
304,5f3ba61f3fd5b671b2200ee0,31,www.gosale.com,dmczs35,35,dmc-zs35k,"0885170181106\,885170181106",panasoniclumixdmczs35,/,,/,/,,/,panasonic
305,5f3ba61f3fd5b671b2200ee8,32,www.gosale.com,"angle lens telephoto\,anglelenstelephoto",,wide-tele,"0721405369164\,721405369164",wideanglelens,/,,/,/,,/,wide
306,5f3ba61f3fd5b671b2200eec,33,www.gosale.com,sd40,40,1273b001,"0013803071580\,00013803071580\,013803071580",canonpowershotsd40,/,,/,/,907.184,/,canon
307,5f3ba61f3fd5b671b2200f15,34,www.gosale.com,fe110,110,225700,"0050332155992\,00050332155992\,050332155992",olympusfe110,/,,/,/,453.592,/,olympus
308,5f3ba61f3fd5b671b2200f2e,35,www.gosale.com,dscrx100,100,dscrx100/b,"0027242856110\,027242856110",sonydscrx100,/,,/,/,,/,sony
309,5f3ba61f3fd5b671b2200f2f,36,www.gosale.com,dmcfz47,47,dmc-fz47k,"0885170053601\,885170053601",panasoniclumixdmcfz47,/,,/,/,,/,panasonic
310,5f3ba61f3fd5b671b2200f3e,37,www.gosale.com,p1,1,coolpix p1,"0018208255344\,00018208255344\,018208255344",nikoncoolpixp1,/,,/,/,907.184,/,nikon
311,5f3ba61f3fd5b671b2200f46,38,www.gosale.com,dscrx100m,100-2,dsc-rx100m2,"0027242870802\,027242870802",sonycybershotdscrx100m,/,,/,/,,/,sony
312,5f3ba61f3fd5b671b2200f6d,39,www.gosale.com,"protection film\,protectionfilm",,dcdpf-pgplgf1,4582100984320,displayprotectionfilm,/,,/,/,,/,display
313,5f3ba61f3fd5b671b2200f77,40,www.gosale.com,a6000,6000,ilce6000l/b,"0027242878822\,027242878822",sonyalphaa6000,/,,/,/,,/,sony
314,5f3ba61f3fd5b671b2200f81,41,www.gosale.com,dmczs20,20,dmczs20k,"0662425823598\,662425823598",panasoniclumixdmczs20,/,,/,/,,/,panasonic
315,5f3ba61f3fd5b671b2200f88,42,www.gosale.com,dmczs19,19,,"0885170074354\,885170074354",panasoniclumixdmczs19,/,,/,/,,/,panasonic
316,5f3ba61f3fd5b671b2200faa,43,www.gosale.com,dsct300,300,dsct300/b,"0027242726765\,027242726765",sonycybershotdsct300,/,,/,/,3175.144,/,sony
317,5f3ba61f3fd5b671b2200fc6,44,www.gosale.com,mx1,1,mx-1 black,"0027075225183\,027075225183",pentaxmx1,/,,/,/,,/,pentax
318,5f3ba61f3fd5b671b2200fd7,45,www.gosale.com,sd40,40,1274b001,"0013803071603\,00013803071603\,013803071603",canonpowershotsd40,/,,/,/,907.184,/,canon
319,5f3ba61f3fd5b671b2200fe2,46,www.gosale.com,s110,110,6351b001,"0013803157147\,013803157147",canonpowershots110,/,,/,/,,/,canon
320,5f3ba61f3fd5b671b2200ff2,47,www.gosale.com,d3200,3200,,"0018208254965\,018208254965",nikond3200,/,,/,/,,/,nikon
321,5f3ba61f3fd5b671b2200ff3,48,www.gosale.com,epl2,2,,"0846840012328\,846840012328",olympuspenepl2,/,,/,/,,/,olympus
322,5f3ba61f3fd5b671b2200ff6,49,www.gosale.com,k01,01,k-01 white,"0662425827787\,662425827787",pentaxk01,/,,/,/,,/,pentax
323,5f3ba61f3fd5b671b2201006,50,www.gosale.com,nx2000,2000,ev-nx2000bfwus,"0887276855042\,887276855042",samsungnx2000,/,,/,/,,/,samsung
324,5f3ba61f3fd5b671b2201012,51,www.gosale.com,a700,700,15715480,"0074101444377\,00074101444377\,074101444377",fujifinepixa700,/,,/,/,907.184,/,fuji
325,5f3ba61f3fd5b671b2201018,52,www.gosale.com,dscw330,330,w330 black,"0027242776548\,00027242776548\,027242776548",sonycybershotdscw330,/,4.0,/,/,,/,sony
