,key,source,famer_brand_list,famer_model_list,famer_product_name,digital zoom,famer_opticalzoom,optical zoom,sensor type,sensor type,weight,dimension,display
248,5f3ba61f3fd5b671b2200bb6,www.pricedekho.com,sony,dsch300,sonycybershotdsch300,,,35x,CCD Sensor,CCD Sensor,,,
249,5f3ba61f3fd5b671b2200bd1,www.pricedekho.com,sony,rx10,sonycybershotrx10,,8.3,8.3x,,,,,
250,5f3ba61f3fd5b671b2200bdd,www.pricedekho.com,samsung,wb350f,samsungwbwb350f,,,,,,,Weight\n216 gms,"Screen Size\n3 Inches\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\, 1280 x 720 pixels (HD) @ 30 fps\, 640 x 480 pixels (VGA) @ 30 fps"
251,5f3ba61f3fd5b671b2200bdf,www.pricedekho.com,canon,a3100,canonpowershota3100,,,,,,,Weight\n165 gms,"Screen Size\n2.7 Inches\nImage Display Resolution\n230000 dots\nVideo Display Resolution\n640 x 480 pixels 30 fps*/30fps LP*\, 320 x 240 (30fps*) * Actual frame is 29.97fps pixels\nViewFinder"
252,5f3ba61f3fd5b671b2200be4,www.pricedekho.com,fujifilm,f660exr,fujifilmfinepixf660exr,3.4x,,15x,EXR CMOS Sensor,EXR CMOS Sensor,217 gms,,
253,5f3ba61f3fd5b671b2200c1f,www.pricedekho.com,sony,a7,sonyalphaa7,,,,,,,Weight\n474 gms,Screen Size\n3 Inches
254,5f3ba61f3fd5b671b2200c24,www.pricedekho.com,canon,6d,canoneos6d,,,,,,,Weight\n755 gms,Screen Size\n3 Inches\nSupported Aspect Ratio\n3\:2
255,5f3ba61f3fd5b671b2200c31,www.pricedekho.com,nikon,l27,nikoncoolpixl27,4x,,5x,CCD Sensor,CCD Sensor,161 gms,,
256,5f3ba61f3fd5b671b2200c51,www.pricedekho.com,fujifilm,instax210,fujifilminstax210,,,,,,,Weight\n610 gms,ViewFinder\nInverted Galilean Finder
257,5f3ba61f3fd5b671b2200c5d,www.pricedekho.com,panasonic,fx80,panasoniclumixdmcfx80,4x,5.0,5x,CCD Sensor,CCD Sensor,,,
258,5f3ba61f3fd5b671b2200c6e,www.pricedekho.com,nikon,s9100,nikoncoolpixs9100,4x,,18x,CMOS Sensor,CMOS Sensor,214 gms,,
259,5f3ba61f3fd5b671b2200c75,www.pricedekho.com,nikon,l310,nikoncoolpixl310,4x,,21x,CCD Sensor,CCD Sensor,,,
260,5f3ba61f3fd5b671b2200c83,www.pricedekho.com,olympus,xz10,olympusstylusxz10,,,,,,,Dimensions\n4.03 x 2.41 x 1.35 Inches\nWeight\n221 gms,"Screen Size\n3 Inches\nImage Display Resolution\n920000 dots\nVideo Display Resolution\n1920 x 1080 pixels (Full HD) @ 30 fps\nSupported Aspect Ratio\n16\:9\, 3\:2\, 4\:3\, 1\:1\nAdditional Display Features\nTouch Control"
261,5f3ba61f3fd5b671b2200c94,www.pricedekho.com,samsung,es30,samsunges30,5x,,5x,CCD Sensor,CCD Sensor,,,
