,key,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_weight,famer_sensor,famer_brand_list
0,5f3ba61f3fd5b671b22014fa,1,www.ebay.com,nx300m,300,,,samsungnx300m,/,/,,,,,,samsung
1,5f3ba61f3fd5b671b22014ff,2,www.ebay.com,l26,26,26299,018208262991,nikoncoolpixl26,/,/,,,,,,nikon
2,5f3ba61f3fd5b671b220150a,3,www.ebay.com,30d,30,1234b002,,canoneos30d,/,/,,,,,,canon
3,5f3ba61f3fd5b671b220150b,4,www.ebay.com,p71,71,dsc-p71,027242603301,sonycybershotdscp71,/,/,,,,,,sony
4,5f3ba61f3fd5b671b220151d,5,www.ebay.com,50d,50,2807b006,013803104684,canon50d,/,/,,,,,,canon
5,5f3ba61f3fd5b671b220151f,6,www.ebay.com,l620,620,26425,018208264254,nikoncoolpixl620,/,/,10.83,6.87,,,,nikon
6,5f3ba61f3fd5b671b2201521,7,www.ebay.com,vg160,160,v106050ou000,050332182578,olympusvg160,/,/,,,,,,olympus
7,5f3ba61f3fd5b671b2201539,8,www.ebay.com,"db15007\,851244006354",15007,db15007bp,851244006354,digitalbluesnapdigitalcamera851244006354,/,/,,,,,,digital 
8,5f3ba61f3fd5b671b2201543,9,www.ebay.com,tz60,60,,,panasoniclumixdmctz60,/,/,,,,,,panasonic lumix
9,5f3ba61f3fd5b671b2201581,10,www.ebay.com,30d,30,eos30dbody,,canoneos30d,/,/,,,,,,canon
10,5f3ba61f3fd5b671b2201582,11,www.ebay.com,s3600,3600,26452,018208264520,nikoncoolpixs3600,/,/,,,,,,nikon
11,5f3ba61f3fd5b671b220158a,12,www.ebay.com,nx10,10,samsungnx1014.6mpdigitalslrcameranobleblack(bodyonly),,samsungnx10,/,/,,,,,,samsung
12,5f3ba61f3fd5b671b22015a6,13,www.ebay.com,z10fd,10,1574777098,74101445107,fujifilmfinepixz10fd,/,/,,,,,,fujifilm
13,5f3ba61f3fd5b671b22015b5,14,www.ebay.com,d7100,7100,1513,017856441659,nikond7100,/,/,13.55,10.65,,,,nikon
14,5f3ba61f3fd5b671b22015cb,15,www.ebay.com,s2940,2940,600008009,074101008982,fujifilmfinepixs2940,/,/,,,,,,fujifilm
15,5f3ba61f3fd5b671b22015da,16,www.ebay.com,"sd10 i\,sd10i\,sd10",10,8984a004,,canonpowershotdigitalelphsd10,/,/,,,,,,canon
16,5f3ba61f3fd5b671b22015f4,17,www.ebay.com,6d,6,8035b002,8714574593609,canoneos6d,/,/,,,,,,canon
17,5f3ba61f3fd5b671b2201617,18,www.ebay.com,r607,607,l1829a#aba,829160935065,hpr607,/,/,,,,,,hp
18,5f3ba61f3fd5b671b2201623,19,www.ebay.com,e520,520,n3126792,050332163997,olympusevolte520,/,/,,,,,,olympus
19,5f3ba61f3fd5b671b220164f,20,www.ebay.com,"x e1\,xe1\,e1",1,16272394,074101017168,fujifilmxe1,/,/,,,,,,fujifilm
20,5f3ba61f3fd5b671b2201651,21,www.ebay.com,pc1102,1102,,,usedcanonpc1102,/,/,,,,,,canon
21,5f3ba61f3fd5b671b220167a,22,www.ebay.com,5d,5,eos-5d/24105,,canoneos5d,/,/,15.24,11.68,,,,canon
22,5f3ba61f3fd5b671b220167c,23,www.ebay.com,40d,40,1901b004,,canoneos40d,/,/,,,,,,canon
23,5f3ba61f3fd5b671b22016a2,24,www.ebay.com,c195,195,8721664,0041778721667,kodakeasysharec195,/,/,,,,,,kodak
24,5f3ba61f3fd5b671b22016c0,25,www.ebay.com,s500,500,dscs500,,sonycybershotcameradscs500,/,/,,,,,,sony
25,5f3ba61f3fd5b671b22016c2,26,www.ebay.com,c4040,4040,,,olympuscamediac4040,/,/,,,,,,olympus
