key,row_key,key,source,famer_brand_list,famer_model_list,famer_model_no_list,famer_keys,famer_product_name,famer_weight,famer_optical_zoom,famer_digital_zoom,famer_height,famer_width,famer_megapixels,famer_sensor,famer_mpn_list,famer_ean_list,model_no_list
5f3ba61e3fd5b671b2200805,1,5f3ba61e3fd5b671b2200805,www.buzzillions.com,ge,x500bk,500,ge500,geappliancepowerprox500bk,,,,,,,,"214698\,x500bk\,x500bktru",x500bk,/
5f3ba61e3fd5b671b220080f,2,5f3ba61e3fd5b671b220080f,www.buzzillions.com,panasonic,dmczs25,25,pan25,panasoniclumixdmczs25885170117549qz452324,,20.0,,,,16.0,CMOS,"""280891""\,""318805 silver""\,""qz452324""\,""885170117549""","""qz452324""\,""885170117549""",/
5f3ba61e3fd5b671b2200817,3,5f3ba61e3fd5b671b2200817,www.buzzillions.com,fujifilm,xp100,100,fuj100,fujifilmfinepixxp100,,5.0,,,,14.0,CMOS,,,/
5f3ba61e3fd5b671b220081c,4,5f3ba61e3fd5b671b220081c,www.buzzillions.com,olympus,tg830,830,oly830,olympustg830,,5.0,,,,16.0,CMOS,,,/
5f3ba61e3fd5b671b220081d,5,5f3ba61e3fd5b671b220081d,www.buzzillions.com,kodak,c182,182,kod182,kodakc182c182kdk,,3.0,5.0,,,12.0,,"163773 blue\,c182kdk\,""c182silver""\,""c182red""",c182kdk,/
5f3ba61e3fd5b671b2200821,6,5f3ba61e3fd5b671b2200821,www.buzzillions.com,olympus,"sp610\,sp610uz",610,oly610,olympus228045sp610sp610sp610uz,,22.0,,,,14.0,,sp610uzbun,,/
5f3ba61e3fd5b671b2200823,7,5f3ba61e3fd5b671b2200823,www.buzzillions.com,pentax,q,,pen,pentaxqdigital15073slsdigitalqpx15073143,,,,,,12.4,CMOS,"""334923""\,""244937 white""\,""px15073143""\,""15073sls""","""px15073143""\,""15073sls""",/
5f3ba61e3fd5b671b2200825,8,5f3ba61e3fd5b671b2200825,www.buzzillions.com,nikon,d4,4,nik4,nikond4,,,,,,16.0,CMOS,,,/
5f3ba61e3fd5b671b2200833,9,5f3ba61e3fd5b671b2200833,www.buzzillions.com,samsung,tl350,350,sam350,samsungtl350,,5.0,44.0,,,,,,,/
5f3ba61e3fd5b671b2200839,10,5f3ba61e3fd5b671b2200839,www.buzzillions.com,samsung,st600,600,sam600,samsungdualviewst600st100,,55.0,5.0,,,14.0,,"202925\,st100",st100,/
5f3ba61e3fd5b671b2200841,11,5f3ba61e3fd5b671b2200841,www.buzzillions.com,canon,d70,70,can70,canond70candigrebxtiblkrebelxtibrebelxtilens,,3.0,,,,10.0,,"""58030""\,""59565""\,""60628""\,""candigrebxtiblk""\,""rebelxtib""\,""rebelxtilens""","""candigrebxtiblk""\,""rebelxtib""\,""rebelxtilens""",/
5f3ba61e3fd5b671b220084f,12,5f3ba61e3fd5b671b220084f,www.buzzillions.com,panasonic,dmcfx12,12,pan12,panasoniclumixdmcfx12dmcfx12k,,,,,,,,"60316 black\,dmcfx12k",dmcfx12k,/
5f3ba61e3fd5b671b2200859,13,5f3ba61e3fd5b671b2200859,www.buzzillions.com,olympus,stylus5010,5010,oly5010,olympusstylus5010olympusstylus5010stylus5010stylus5010,,5.0,5.0,,,14.0,,"183365 blue\,olympusstylus5010",olympusstylus5010,/
