,key,row_key,source,famer_model_list,famer_model_no_list,famer_mpn_list,famer_ean_list,famer_product_name,famer_digital_zoom,famer_optical_zoom,famer_width,famer_height,famer_weight,famer_sensor,famer_brand_list
0,5f3ba61e3fd5b671b220056c,1,www.price-hunt.com,v550,550,/,/,panasonichcv550,150,50,5.3,6.1,235.0,Bsi mos,panasonic
1,5f3ba61e3fd5b671b220056f,2,www.price-hunt.com,tz30,30,/,/,panasoniclumixdmctz30,4,20,10.49,5.89,206.0,Mos,panasonic
2,5f3ba61e3fd5b671b220057a,3,www.price-hunt.com,fh7,7,/,/,panasoniclumixdmcfh7,4,4,9.52,5.63,126.0,CCD,panasonic
3,5f3ba61e3fd5b671b2200584,4,www.price-hunt.com,w830,830,/,/,sonycybershotdscw830,32,8,9.31,5.25,104.0,CCD,sony
4,5f3ba61e3fd5b671b220059a,5,www.price-hunt.com,tg850,850,/,/,olympustg850,20,5,0.0,0.0,218.0,CMOS,olympus
5,5f3ba61e3fd5b671b220059d,6,www.price-hunt.com,tz35,35,/,/,panasoniclumixdmctz35,4,20,10.49,5.89,193.0,Mos,panasonic
6,5f3ba61e3fd5b671b22005a8,7,www.price-hunt.com,t110,110,/,/,olympust110,4,3,9.3,6.0,135.0,CCD,olympus
7,5f3ba61e3fd5b671b22005bb,8,www.price-hunt.com,5tl,5,/,/,sonynexnex5tl,4,,0.0,0.0,218.0,Exmor aps HD CMOS Sensor,sony
8,5f3ba61e3fd5b671b22005c5,9,www.price-hunt.com,w310,310,/,/,sonycybershotdscw310,8,4,0.0,0.0,121.0,CCD,sony
9,5f3ba61e3fd5b671b22005d4,10,www.price-hunt.com,a1400,1400,/,/,canonpowershota1400,4,5,9.47,6.17,174.0,CCD,canon
10,5f3ba61e3fd5b671b22005da,11,www.price-hunt.com,g15,15,/,/,canonpowershotg15,4,5,10.66,7.59,352.0,CMOS,canon
