,MPN_Liste_TruncateBegin20,EAN_Liste_TruncateBegin20,Produktname_dic3,Modell_Liste_3g,Digital_zoom_NumMaxProz30,optischer_zoom_NumMaxProz30,Breite_NumMaxProz30,Höhe_NumMaxProz30,Gewicht_NumMaxProz30,Sensortyp_Jaccard3,is_match,pred,probabilties_0,probabilties_1,AbsDiff,signifikant_diff
0,,,1.0,1.0,,,0.0,0.0,,,1.0,1,0.00018554926,0.99981445,0.9996289,1
1,,,0.6285714285714286,1.0,1.0,1.0,0.9702380952380952,0.9494949494949496,,,1.0,1,3.9696693e-05,0.9999603,0.9999206,1
2,,,0.8636363636363636,0.6,,,0.0,0.0,,,1.0,0,0.9972078,0.0027921891,0.99441564,1
3,,,0.3243243243243243,0.1666666666666666,,,0.4736842105263155,0.0,,,0.0,0,0.99996805,3.1969827e-05,0.9999361,1
4,,,0.6666666666666666,0.0,,,0.0,0.0,,,0.0,0,0.9970306,0.002969376,0.99406123,1
5,,,0.8275862068965517,1.0,,,0.0,0.0,,,1.0,1,0.00024276972,0.99975723,0.99951446,1
6,,,0.6428571428571429,0.0,,0.0,0.7701149425287359,0.0804597701149426,,,0.0,0,0.99994653,5.3467e-05,0.99989307,1
7,,,0.4,0.25,,,0.0,0.0,,,0.0,0,0.9995655,0.00043451265,0.99913096,1
8,,,0.3870967741935484,0.2,,,0.0,0.0,,,0.0,0,0.9999291,7.090713e-05,0.99985814,1
9,,,0.5517241379310345,0.3333333333333333,,,0.0,0.0,,,0.0,0,0.99979085,0.00020917726,0.9995817,1
10,,,0.2857142857142857,0.0,,,0.6064814814814812,0.587301587301587,,,0.0,0,0.999956,4.3972705e-05,0.999912,1
11,,,0.8571428571428571,0.5,,,0.0,0.0,,,1.0,0,0.99954253,0.00045749385,0.99908507,1
12,,,0.3225806451612903,0.0,,,0.0,0.0,,,0.0,0,0.9998937,0.00010625283,0.99978745,1
13,,,0.3125,0.0666666666666666,,,0.0,0.0,,,0.0,0,0.9998937,0.00010625283,0.99978745,1
14,,,0.3333333333333333,0.0769230769230769,,,,,,,0.0,0,0.99999,1.0019644e-05,0.99998,1
15,,,0.3125,0.0666666666666666,,,,,,,0.0,0,0.99998903,1.0946335e-05,0.99997807,1
16,,,0.5128205128205128,0.75,,0.3518518518518517,0.9673202614379086,1.0,,,0.0,0,0.7498238,0.25017622,0.4996476,0
17,,,0.6486486486486487,1.0,,1.0,0.0,0.0,,,1.0,1,4.4584274e-05,0.9999554,0.99991083,1
18,,,0.5128205128205128,0.75,,,0.0,0.0,,,0.0,0,0.90607274,0.09392726,0.8121455,0
19,,,1.0,1.0,,0.3333333333333333,0.0,0.0,,,1.0,1,0.00023061037,0.9997694,0.9995388,1
20,,,0.5641025641025641,0.0,,,0.0,0.0,,,0.0,0,0.99975044,0.00024959375,0.9995009,1
21,,,0.5,0.0,,,0.0,0.0,,,0.0,0,0.9996915,0.0003085298,0.999383,1
22,,,0.7692307692307693,1.0,1.0,1.0,0.0,0.0,,,1.0,1,0.00041419268,0.9995858,0.9991716,1
23,,,0.5,0.125,1.0,0.0140845070422537,0.0,0.0,,,0.0,0,0.9998807,0.00011935773,0.99976134,1
24,,,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,1.0,1,3.838539e-05,0.9999616,0.9999232,1
25,,,0.3225806451612903,0.0,,,0.0,0.0,,,0.0,0,0.9998937,0.00010625283,0.99978745,1
26,,,1.0,1.0,,,0.0,0.0,,,1.0,1,0.00018554926,0.99981445,0.9996289,1
27,,,0.3243243243243243,0.1666666666666666,,,0.2481203007518797,0.0,,,0.0,0,0.99996805,3.1969827e-05,0.9999361,1
28,,,0.5714285714285714,0.0,,,,,,,0.0,0,0.999994,6.021522e-06,0.99998796,1
29,,,0.3636363636363636,0.0,,,,,,,0.0,0,0.99998903,1.0946335e-05,0.99997807,1
30,,,0.3529411764705882,0.3333333333333333,,,0.6551724137931036,0.1481481481481482,,,0.0,0,0.99995965,4.0343304e-05,0.9999193,1
31,,,0.9,1.0,,,0.0,0.0,,,1.0,1,0.000225842,0.99977416,0.9995483,1
32,,,0.5405405405405406,0.5,,,0.9737532808398952,1.0,,,0.0,1,0.180973,0.819027,0.638054,0
33,,,0.7692307692307693,0.0,,1.0,0.0,0.0,,,0.0,0,0.98424536,0.015754653,0.9684907,1
34,,,0.5,0.0,,0.0,0.0,0.0,,,0.0,0,0.9998571,0.00014289029,0.99971426,1
35,,,0.7692307692307693,0.0,,,,,,,0.0,0,0.99989796,0.00010206824,0.9997959,1
36,,,0.5,0.0,,,,,,,0.0,0,0.99999,1.0017877e-05,0.99998,1
37,,,1.0,0.5,,,0.0,0.0,,,1.0,1,0.111196995,0.888803,0.777606,0
38,,,1.0,1.0,,1.0,0.0,0.0,,,1.0,1,0.00038325787,0.99961674,0.9992335,1
39,,,0.5641025641025641,0.0,0.565217391304348,0.7333333333333332,0.0,0.0,,,0.0,0,0.9998164,0.00018355864,0.99963284,1
40,,,0.5,0.0,0.565217391304348,1.0,0.0,0.0,,,1.0,0,0.9996142,0.00038579447,0.99922836,1
41,,,0.5,0.0,,0.0,0.0,0.0,,,0.0,0,0.9998571,0.00014289029,0.99971426,1
42,,,1.0,1.0,,,0.0,0.0,,,1.0,1,0.00018554926,0.99981445,0.9996289,1
43,,,1.0,1.0,,1.0,0.0,0.0,,,1.0,1,0.00038325787,0.99961674,0.9992335,1
44,,,0.5238095238095238,0.5,,,,,,,1.0,0,0.9964791,0.0035209046,0.9929582,1
45,,,1.0,1.0,,,0.0,0.0,,,1.0,1,0.00018554926,0.99981445,0.9996289,1
46,,,0.6285714285714286,1.0,,,,,,,1.0,1,3.0040741e-05,0.99996996,0.9999399,1
47,,,0.4571428571428571,0.25,,,0.0,0.0,,,0.0,0,0.9998616,0.0001383898,0.9997232,1
48,,,0.3783783783783784,0.3333333333333333,,,0.0,0.0,,,0.0,0,0.9998916,0.00010841326,0.99978316,1
49,,,0.55,0.875,,,0.0,0.0,,,1.0,1,0.00032436848,0.99967563,0.99935126,1
