key,source,props_number,props_artist,props_year,props_album,props_length,props_language,props_title,props_recId
58c007cf9184900a77a26089,2,9,,75,De vous à elle en passant par moi,219,French,Daniel Balavoine - L'enfant aux yeux d'Italie,1
58c007cf9184900a77a2608a,4,7,[unknown],null,Cantigas de roda (unknown),1m 58sec,Por.,007,2512
58c007cf9184900a77a2608b,2,17,,95,There and Back Again Lane,129,English,Action PAINTING! - Mustard Gas,2
58c007cf9184900a77a2608c,5,10,Kathy Troccoli,2005,Comfort,unk.,English,Your Grace,3
58c007cf9184900a77a2608d,5,2,Ernie Stadler Jazz Quintet,2010,First Down,321266,English,Well You Needn't,4
58c007cf9184900a77a2608e,3,6,Neil Young,,,,English,"Try (acoustic) - 2008-02-15: Le Grand Rex, Paris, France",5
58c007cf9184900a77a2608f,2,11,,05,Groove City,177,English,Bruce Maginnis - Sttreet Hype,2136
58c007cf9184900a77a26090,2,9,,96,Luce Dufault,242,French,Luce Dufault - Ballade à donner,6
58c007cf9184900a77a26091,5,9,Wendy Saddington,2007,"Blues Women Anthology, Volume 7",462000,English,Just Like Tom Thumb's Blues (live),7
58c007cf9184900a77a26092,5,4,Λαυρέντης Μαχαιρίίτσας,1997,"Συλλογή Δίφωνο, 22: Μουσικοί βιότοποι",195000,Greek,Στα καμένα,6842
58c007cf9184900a77a26093,5,6,Anathema,1998,Alternative 4,188400,English,,5568
58c007cf9184900a77a26094,5,23,Byron Brizuela & Enrique Carbajal,,Mexico,129000,English,El Vaquero Chido (The Cool Cowboy),8
58c007cf9184900a77a26095,4,2,Lunchbox,null,Evolver (2002),6m 21sec,Eng.,002-Particle/Wave,9
58c007cf9184900a77a26096,4,1,Blanket,null,Nice (2000),3m 36sec,ng.,001-Deja Vu,10
58c007cf9184900a77a26097,4,19,Andy Bey and the Bey Sisters,null,Andy Bey and the Bey Sisters (2000),2m 55sec,Eng.,019-Feeling Good,4209
58c007cf9184900a77a26098,1,011,Max Bruch,1996,"The Classical Album, Volume 1",04:04,,"Scottish Fantasy: Adagio cantabile (The Classical Album, Volume 1)",5371
58c007cf9184900a77a26099,2,14,,,Die frühen Aufnahmen,188,[Multiple languages],Marlene Dietrich - Wo ist der Mann?,11
58c007cf9184900a77a2609a,4,1,,null, (2010),3m 52sec,Jap.,00-1,12
58c007cf9184900a77a2609b,5,16,Rye Rye,2011,RYEot powRR,263497,English,Gimme Dat (remix),13
58c007cf9184900a77a2609c,1,021,Gerard Alessandrini,2901,Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast),03:39,,AmnerisIntro:EveryStoryIsaLoveStory/HeatherHeadley/It'sCheesy:EasyasLife(ForbiddenBroadway2001:ASpoofOdyssey(2001originaloffBroadwaycast)),14
58c007cf9184900a77a2609d,3,6,Wisin & Yandel,'11,,4.367,Spanish,Cállate - Los vaqueros: el regreso: Deluxe Edition,3118
58c007cf9184900a77a2609e,1,008,FeSo,2011,Working Title,01:26,,Outro (Working Title),2151
58c007cf9184900a77a2609f,1,003,Anemone,2013,10cm,03:45,,10cm,15
58c007cf9184900a77a260a0,2,12,,01,Greatest Hits,145,Engliish,Al Hirt - Tansy,2142
58c007cf9184900a77a260a1,3,9,Jelly Roll Morton,'89,,3.085,English,Fish Tail Blues - The King & Mister Jelly Lord,5893
58c007cf9184900a77a260a2,2,3,,00,"De Pre Historie 1989, Volume 3",162,[Multiple languages],Clouseau - Anne,16
58c007cf9184900a77a260a3,2,2,,08,Night Flyer,350,English,Tony Rice - Urge for Going,5498
58c007cf9184900a77a260a4,1,010,Caesura,2002,"More Specific, Less Pacific",02:36,,"Placebo Persuasion (More Specific, Less Pacific)",17
58c007cf9184900a77a260a5,5,5,Diana Ross & Lionel Richie,2008,"Motown 50: Yesterday, Today, Forever (Japan Edition)",26 6000,English,En dless Love,3385
58c007cf9184900a77a260a6,4,11,   ,null,  (1973),3m 41sec,Heb.,011- ,8950
58c007cf9184900a77a260a7,2,18,,,Tabu Recz,240,null,"Tabu Recz - Du Ikk' Sej, Din Pik Er Ikk' Lang, Vi Skyder Dig",18
58c007cf9184900a77a260a8,5,13,The Doros,2010,Live in Vancouver 1970,78000,English,Tuning,7301
58c007cf9184900a77a260a9,4,16,Hell,null,Teufelswerk (2009),0m 41sec,Eng.,016-Action (interlude),1396
58c007cf9184900a77a260aa,1,016,Peggy Brown,,Denn Sie Fahren Hinaus Auf Das Meer,02:21,,Lass Mich Nie Wieder Weinen (Denn Sie Fahren Hinaus Auf Das Meer),19
58c007cf9184900a77a260ab,5,4,Ozzy Osbourne,2002,Ozzmosis,388826,English,Thunder Underground,4960
58c007cf9184900a77a260ac,2,2,,,Treasures Of The Incas (Andes Cosmos),249,null,Wayanay - Andes Cosmos,20
58c007cf9184900a77a260ad,2,4,Hybrid,3,Morning_Sci-Fi,null,English,Special Feature Including A Hybrid Documentary,21
58c007cf9184900a77a260ae,1,002,LittleTony,1997,Cuore mattoo,00:00,,I could easily fall in love with you (Cuore matto),22
58c007cf9184900a77a260af,3,13,Laine,'00,,4.567,Estonian,Mu sõber tuul - Uus Laine,519
58c007cf9184900a77a260b0,1,013,Chris Willis,2002,With This Ring… Forever I Do,04:36,,Still in love with you (With This Ring… Forever I Do),23
58c007cf9184900a77a260b1,4,6,Bibio,null,Ministry of Sound: Chillout Sessions XVI (2013),4m 0sec,Eng.,007-A Tout A L'Heure,24
58c007cf9184900a77a260b2,2,10,,03,Oro: Grandes éxitos,242,Spanish,CharlyGarcíaNobombardeenBuenosAires,1085
58c007cf9184900a77a260b3,2,,,02,Hollands Glorie: Lowland Trio,150,Dutch,Lowland Trio - Van mij kan je de pot op,83
58c007cf9184900a77a260b4,3,2,Dexter Gordon,'94,,12.3,English,Fried Bananas - Live at the Amsterdam Paradiso,25
58c007cf9184900a77a260b5,2,1 1,,,Become Yourself,344,English,Power of Dreams - Sky,3059
58c007cf9184900a77a260b6,2,13,,11,"To Eva, With Love",333,English,Amikaeyla and Trelawny Rose - Wonderful World,26
58c007cf9184900a77a260b7,1,043,Keith Mansfield,,Swing of the City,00:09,,Style Talks (g) (link) (Swing of the City),5969
58c007cf9184900a77a260b8,5,7,服部隆之,1995,スレイヤーズ: The Motion Picture,69000,Japanese,闇に笑ふ,6133
58c007cf9184900a77a260b9,1,011,Jorge Vercilo,2005,Ensaio - Signo de ar,04:57,,Praia nua (Ensaio - Signo de ar),27
58c007cf9184900a77a260ba,1,001,United Citizen Federation,,Starship Troopers (feat. Sarah Brightman),03:35,,Starship Troopers (D-Bop's Saturday Nite radio edit) (Starship Troopers (feat. Sarah Brightman)),7345
58c007cf9184900a77a260bb,5,6,Saints & Sinners,,Saints & Sinners,230893,,hWeels of FIRE,28
58c007cf9184900a77a260bc,1,003,Laura Harris,1998,Bring Back the Love,00:00,,Bring Back the Love (Spaced Out dub),2783
58c007cf9184900a77a260bd,4,11,"BeatKing feat. Slim Thug, Kirko Bangz & Bun B",null,Club God 2 (2012),4m 12sec,Eng.,011-Dey Want Some,29
58c007cf9184900a77a260be,3,5,Finch,'08,,3.833,English,Bury Me (demo) - Finch,2175
58c007cf9184900a77a260bf,5,13,Charlie Walker,,Pick Me Up on Your Way Down,157533,,Charlie Walker,30
58c007cf9184900a77a260c0,4,12,null,null,lovetheonlyway (2002),3m 51sec,Eng.,012-Lullabye,2357
58c007cf9184900a77a260c1,5,3,Kamikaze Mustang Pilot,,Kamikaze Mustang Pilot,287000,English,Jivin' (in a Jump Swing Band),4407
58c007cf9184900a77a260c2,5,11,Bonnie Tyler,2008,"Seventies Top 100, Volume 2",210120,English,It's a Heartache,31
58c007cf9184900a77a260c3,2,10,,92,Groping for Trout,109,English,Sinkhole - Wreck on the Highway,6178
58c007cf9184900a77a260c4,5,20,KC L.M.N.O.P.,1996,Ta yeul…,201400,French,Comme ça tu veux un gun ? Tu trouves ça l'fun !,32
58c007cf9184900a77a260c5,5,18,TOMOSUKE,2000,GUITAR FREAKS 3rd Mix & drummania 2nd Mix soundtracks,92960,Japanese,Implantation,1949
