,record_compared_1,record_compared_2,recId,recId,is_match
0,5f3ba61e3fd5b671b2200523,5f3ba61e3fd5b671b2200691,662,662,1
1,5f3ba61e3fd5b671b22004ed,5f3ba61e3fd5b671b2200691,662,662,1
2,5f3ba61e3fd5b671b2200522,5f3ba61e3fd5b671b2200691,662,662,1
3,5f3ba61e3fd5b671b2200524,5f3ba61e3fd5b671b220062d,655,655,1
4,5f3ba61e3fd5b671b2200530,5f3ba61e3fd5b671b220062d,655,655,1
5,5f3ba61e3fd5b671b220054d,5f3ba61e3fd5b671b220065d,380,380,1
6,5f3ba61e3fd5b671b22004f1,5f3ba61e3fd5b671b22005b2,122,122,1
7,5f3ba61e3fd5b671b22004e6,5f3ba61e3fd5b671b22005b2,122,122,1
8,5f3ba61e3fd5b671b22004e1,5f3ba61e3fd5b671b2200591,659,659,1
9,5f3ba61e3fd5b671b2200504,5f3ba61e3fd5b671b2200591,659,659,1
10,5f3ba61e3fd5b671b220051d,5f3ba61e3fd5b671b2200591,659,659,1
11,5f3ba61e3fd5b671b22004e9,5f3ba61e3fd5b671b220064d,22,22,1
12,5f3ba61e3fd5b671b2200545,5f3ba61e3fd5b671b220064d,22,22,1
13,5f3ba61e3fd5b671b2200506,5f3ba61e3fd5b671b220064d,22,22,1
14,5f3ba61e3fd5b671b2200516,5f3ba61e3fd5b671b220064d,22,22,1
15,5f3ba61e3fd5b671b22004ff,5f3ba61e3fd5b671b2200569,415,415,1
16,5f3ba61e3fd5b671b220051f,5f3ba61e3fd5b671b2200569,415,415,1
17,5f3ba61e3fd5b671b2200513,5f3ba61e3fd5b671b2200677,98,98,1
18,5f3ba61e3fd5b671b2200518,5f3ba61e3fd5b671b2200677,98,98,1
19,5f3ba61e3fd5b671b22004dd,5f3ba61e3fd5b671b2200677,98,98,1
20,5f3ba61e3fd5b671b220051c,5f3ba61e3fd5b671b2200677,98,98,1
21,5f3ba61e3fd5b671b22004f0,5f3ba61e3fd5b671b220055a,164,164,1
22,5f3ba61e3fd5b671b2200507,5f3ba61e3fd5b671b220055a,164,164,1
23,5f3ba61e3fd5b671b22004ef,5f3ba61e3fd5b671b220055a,164,164,1
24,5f3ba61e3fd5b671b2200509,5f3ba61e3fd5b671b2200686,658,658,1
25,5f3ba61e3fd5b671b2200503,5f3ba61e3fd5b671b2200686,658,658,1
26,5f3ba61e3fd5b671b220050d,5f3ba61e3fd5b671b2200563,660,660,1
27,5f3ba61e3fd5b671b22004fa,5f3ba61e3fd5b671b2200563,660,660,1
28,5f3ba61e3fd5b671b22004fb,5f3ba61e3fd5b671b2200563,660,660,1
29,5f3ba61e3fd5b671b2200535,5f3ba61e3fd5b671b2200688,105,105,1
30,5f3ba61e3fd5b671b2200510,5f3ba61e3fd5b671b2200688,105,105,1
31,5f3ba61e3fd5b671b22004ec,5f3ba61e3fd5b671b2200688,105,105,1
32,5f3ba61e3fd5b671b22004eb,5f3ba61e3fd5b671b2200584,80,80,1
33,5f3ba61e3fd5b671b220052c,5f3ba61e3fd5b671b2200584,80,80,1
34,5f3ba61e3fd5b671b2200505,5f3ba61e3fd5b671b2200642,21,21,1
35,5f3ba61e3fd5b671b2200533,5f3ba61e3fd5b671b2200642,21,21,1
36,5f3ba61e3fd5b671b22004fd,5f3ba61e3fd5b671b2200642,21,21,1
37,5f3ba61e3fd5b671b220052d,5f3ba61e3fd5b671b220061f,257,257,1
38,5f3ba61e3fd5b671b2200548,5f3ba61e3fd5b671b220061f,257,257,1
39,5f3ba61e3fd5b671b2200521,5f3ba61e3fd5b671b220061f,257,257,1
40,5f3ba61e3fd5b671b2200550,5f3ba61e3fd5b671b2200685,9,9,1
41,5f3ba61e3fd5b671b22004e2,5f3ba61e3fd5b671b2200685,9,9,1
42,5f3ba61e3fd5b671b220053d,5f3ba61e3fd5b671b2200685,9,9,1
43,5f3ba61e3fd5b671b22004e3,5f3ba61e3fd5b671b2200694,668,668,1
44,5f3ba61e3fd5b671b2200502,5f3ba61e3fd5b671b2200601,195,195,1
45,5f3ba61e3fd5b671b2200511,5f3ba61e3fd5b671b2200593,204,204,1
46,5f3ba61e3fd5b671b220053b,5f3ba61e3fd5b671b2200600,57,57,1
47,5f3ba61e3fd5b671b220054c,5f3ba61e3fd5b671b22005fe,125,125,1
48,5f3ba61e3fd5b671b2200512,5f3ba61e3fd5b671b22005fe,125,125,1
49,5f3ba61e3fd5b671b220050a,5f3ba61e3fd5b671b22005f2,7,7,1
50,5f3ba61e3fd5b671b2200528,5f3ba61e3fd5b671b220064e,656,656,1
51,5f3ba61e3fd5b671b2200528,5f3ba61e3fd5b671b2200581,656,656,1
52,5f3ba61e3fd5b671b22004ea,5f3ba61e3fd5b671b22005eb,671,671,1
53,5f3ba61e3fd5b671b22004de,5f3ba61e3fd5b671b22005eb,671,671,1
54,5f3ba61e3fd5b671b2200549,5f3ba61e3fd5b671b22005bc,97,97,1
55,5f3ba61e3fd5b671b2200544,5f3ba61e3fd5b671b2200663,111,111,1
56,5f3ba61e3fd5b671b22004dc,5f3ba61e3fd5b671b220066e,676,676,1
57,5f3ba61e3fd5b671b220053c,5f3ba61e3fd5b671b22005c8,177,177,1
