,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52
0,www.ebay.com_www.priceme.co.nz.csv,2,100.0,100.0,0.0,0.45,100.0,100.0,100.0,100.0,100.0,100.0,99999.0,99999.0,0.0,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,0.62,0.21,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,1.0,1.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,0.65,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
1,buy.net_www.ebay.com.csv,7,100.0,100.0,0.0,0.35,100.0,61.16,93.94,93.94,96.71,97.23,99999.0,99999.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,99999.0,99999.0,0.61,0.22,99999.0,0.39,0.0,0.0,0.0,0.44,99999.0,99999.0,1.0,1.0,99999.0,1.0,0.0,0.0,0.0,1.0,99999.0,99999.0,0.61,0.0,99999.0,0.0,0.0,0.0,0.0,0.1
2,www.eglobalcentral.co.uk_www.priceme.co.nz.csv,2,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,99999.0,99999.0,0.22,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,0.72,0.39,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,1.0,1.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,0.77,0.2,99999.0,99999.0,99999.0,99999.0,99999.0,99999.0
3,www.camerafarm.com.au_www.henrys.com.csv,6,100.0,100.0,0.0,0.0,100.0,100.0,38.46,38.46,97.44,94.87,99999.0,99999.0,0.29,0.0,99999.0,99999.0,0.0,0.0,0.87,1.0,99999.0,99999.0,0.69,0.6,99999.0,99999.0,0.04,0.04,0.87,1.0,99999.0,99999.0,1.0,1.0,99999.0,99999.0,1.0,0.88,0.87,1.0,99999.0,99999.0,0.65,0.83,99999.0,99999.0,0.0,0.0,0.87,1.0
4,buy.net_cammarkt.com.csv,8,100.0,100.0,0.0,0.0,91.78,87.67,47.95,43.84,10.96,24.66,99999.0,99999.0,0.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,99999.0,99999.0,0.72,0.4,1.0,0.29,0.0,0.02,0.0,0.75,99999.0,99999.0,1.0,1.0,1.0,1.0,0.0,0.75,0.0,1.0,99999.0,99999.0,0.7,0.17,1.0,0.0,0.0,0.0,0.0,1.0
5,www.buzzillions.com_www.pcconnection.com.csv,5,100.0,100.0,0.0,2.96,97.04,95.56,100.0,100.0,100.0,51.85,99999.0,99999.0,0.1,0.0,0.0,0.0,99999.0,99999.0,99999.0,0.0,99999.0,99999.0,0.58,0.3,0.5,0.57,99999.0,99999.0,99999.0,0.51,99999.0,99999.0,1.0,1.0,1.0,1.0,99999.0,99999.0,99999.0,1.0,99999.0,99999.0,0.55,0.14,0.5,0.72,99999.0,99999.0,99999.0,0.33
6,www.ebay.com_www.henrys.com.csv,7,100.0,100.0,0.0,0.0,100.0,41.11,93.62,93.62,98.99,98.32,99999.0,99999.0,0.0,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,99999.0,99999.0,0.54,0.19,99999.0,0.33,0.33,0.35,0.74,0.35,99999.0,99999.0,1.0,1.0,99999.0,1.0,1.0,1.0,1.0,1.0,99999.0,99999.0,0.5,0.0,99999.0,0.0,0.0,0.0,0.85,0.1
7,www.shopbot.com.au_www.price-hunt.com.csv,6,100.0,100.0,0.0,0.0,100.0,86.72,7.38,7.38,76.38,100.0,99999.0,99999.0,0.21,0.0,99999.0,0.0,0.0,0.0,0.0,99999.0,99999.0,99999.0,0.71,0.29,99999.0,0.43,0.16,0.13,0.4,99999.0,99999.0,99999.0,1.0,1.0,99999.0,1.0,1.0,1.0,1.0,99999.0,99999.0,99999.0,0.75,0.0,99999.0,0.0,0.0,0.0,0.0,99999.0
8,www.wexphotographic.com_www.price-hunt.com.csv,7,100.0,100.0,0.0,0.0,100.0,12.99,1.3,1.3,9.09,5.19,99999.0,99999.0,0.3,0.0,99999.0,0.0,0.0,0.0,0.0,0.0,99999.0,99999.0,0.7,0.51,99999.0,0.56,0.58,0.56,0.54,0.52,99999.0,99999.0,1.0,1.0,99999.0,1.0,1.0,1.0,1.0,1.0,99999.0,99999.0,0.69,0.4,99999.0,0.73,0.71,0.78,0.7,0.33
9,cammarkt.com_www.pcconnection.com.csv,6,100.0,100.0,0.0,0.0,100.0,100.0,82.5,82.5,77.5,30.0,99999.0,99999.0,0.39,0.0,99999.0,99999.0,0.0,0.0,0.0,0.0,99999.0,99999.0,0.79,0.52,99999.0,99999.0,0.0,0.0,0.32,0.59,99999.0,99999.0,1.0,1.0,99999.0,99999.0,0.0,0.0,0.99,1.0,99999.0,99999.0,0.78,0.58,99999.0,99999.0,0.0,0.0,0.0,0.67
10,www.ebay.com_www.eglobalcentral.co.uk.csv,5,100.0,100.0,0.0,0.63,100.0,85.05,91.58,91.58,100.0,100.0,99999.0,99999.0,0.0,0.0,99999.0,0.0,0.0,0.0,99999.0,99999.0,99999.0,99999.0,0.56,0.2,99999.0,0.27,0.44,0.39,99999.0,99999.0,99999.0,99999.0,1.0,1.0,99999.0,1.0,1.0,1.0,99999.0,99999.0,99999.0,99999.0,0.55,0.0,99999.0,0.0,0.27,0.08,99999.0,99999.0
11,www.buzzillions.com_www.price-hunt.com.csv,5,100.0,100.0,0.0,0.0,64.08,37.68,100.0,100.0,100.0,58.1,99999.0,99999.0,0.15,0.0,0.0,0.0,99999.0,99999.0,99999.0,0.0,99999.0,99999.0,0.62,0.25,0.44,0.28,99999.0,99999.0,99999.0,0.57,99999.0,99999.0,1.0,1.0,1.0,1.0,99999.0,99999.0,99999.0,1.0,99999.0,99999.0,0.63,0.0,0.0,0.0,99999.0,99999.0,99999.0,0.38
