,compared_resources,MPN_Liste_perc_nan,MPN_Liste_std_deviation,MPN_Liste_median,MPN_Liste_skewness,MPN_Liste_kurtosis,EAN_Liste_perc_nan,EAN_Liste_std_deviation,EAN_Liste_median,EAN_Liste_skewness,EAN_Liste_kurtosis,Produktname_dic3_perc_nan,Produktname_dic3_std_deviation,Produktname_dic3_median,Produktname_dic3_skewness,Produktname_dic3_kurtosis,Modell_Liste_perc_nan,Modell_Liste_std_deviation,Modell_Liste_median,Modell_Liste_skewness,Modell_Liste_kurtosis,Digital_zoom_perc_nan,Digital_zoom_std_deviation,Modell_Liste_median,Digital_zoom_skewness,Digital_zoom_kurtosis,optischer_zoom_perc_nan,optischer_zoom_std_deviation,optischer_zoom_median,optischer_zoom_skewness,optischer_zoom_kurtosis,Breite_perc_nan,Breite_std_deviation,Breite_median,Breite_skewness,Breite_kurtosis,Höhe_perc_nan,Höhe_std_deviation,Höhe_median,Höhe_skewness,Höhe_kurtosis,Gewicht_perc_nan,Gewicht_std_deviation,Gewicht_median,Gewicht_skewness,Gewicht_kurtosis,Sensortyp_perc_nan,Sensortyp_std_deviation,Sensortyp_median,Sensortyp_skewness,Sensortyp_kurtosis
0,www.ebay.com_www.priceme.co.nz.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.25,0.65,-0.35,-0.77,0.45,0.34,0.0,1.59,1.1,100.0,2.0,0.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0
1,buy.net_www.ebay.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.25,0.61,-0.31,-0.56,0.35,0.36,0.0,1.45,0.45,100.0,2.0,0.0,2.0,2.0,61.16,0.46,0.0,0.48,-1.68,93.94,0.0,0.0,0.0,0.0,93.94,0.0,0.0,0.0,0.0,96.71,0.0,0.0,0.0,0.0,97.23,0.45,0.1,0.43,-1.84
2,www.eglobalcentral.co.uk_www.priceme.co.nz.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.24,0.77,-0.37,-1.05,0.0,0.44,0.2,0.52,-1.54,100.0,2.0,0.2,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0
3,www.camerafarm.com.au_www.henrys.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.26,0.65,-0.04,-1.59,0.0,0.43,0.83,-0.33,-1.75,100.0,2.0,0.83,2.0,2.0,100.0,2.0,2.0,2.0,2.0,38.46,0.2,0.0,4.9,24.0,38.46,0.18,0.0,4.9,24.0,97.44,2.0,0.87,2.0,2.0,94.87,0.0,1.0,2.0,2.0
4,buy.net_cammarkt.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.23,0.7,-0.13,-1.25,0.0,0.43,0.17,0.52,-1.54,91.78,0.0,0.17,0.0,0.0,87.67,0.43,0.0,1.22,-0.24,47.95,0.0,0.0,0.0,0.0,43.84,0.12,0.0,6.4,41.0,10.96,0.0,0.0,0.0,0.0,24.66,0.38,1.0,-0.98,-0.89
5,www.buzzillions.com_www.pcconnection.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.23,0.55,0.09,-0.58,2.96,0.38,0.14,1.07,-0.47,97.04,0.58,0.14,0.0,-6.0,95.56,0.49,0.72,-0.37,-2.53,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,51.85,0.41,0.33,0.24,-1.77
6,www.ebay.com_www.henrys.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.21,0.5,0.45,-0.03,0.0,0.31,0.0,1.8,2.03,100.0,2.0,0.0,2.0,2.0,41.11,0.44,0.0,0.77,-1.27,93.62,0.46,0.0,0.73,-1.51,93.62,0.46,0.0,0.61,-1.67,98.99,0.37,0.85,-2.19,5.03,98.32,0.46,0.1,0.94,-1.29
7,www.shopbot.com.au_www.price-hunt.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.23,0.75,-0.33,-0.96,0.0,0.39,0.0,1.03,-0.6,100.0,2.0,0.0,2.0,2.0,86.72,0.5,0.0,0.32,-1.98,7.38,0.33,0.0,1.8,1.61,7.38,0.31,0.0,2.18,3.02,76.38,0.45,0.0,0.43,-1.71,100.0,2.0,2.0,2.0,2.0
8,www.wexphotographic.com_www.price-hunt.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.23,0.69,-0.04,-1.28,0.0,0.44,0.4,0.04,-1.79,100.0,2.0,0.4,2.0,2.0,12.99,0.46,0.73,-0.24,-1.81,1.3,0.43,0.71,-0.37,-1.64,1.3,0.44,0.78,-0.27,-1.78,9.09,0.45,0.7,-0.21,-1.84,5.19,0.41,0.33,0.23,-1.73
9,cammarkt.com_www.pcconnection.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.2,0.78,-0.32,-1.33,0.0,0.48,0.58,-0.05,-2.02,100.0,2.0,0.58,2.0,2.0,100.0,2.0,2.0,2.0,2.0,82.5,0.0,0.0,0.0,0.0,82.5,0.0,0.0,0.0,0.0,77.5,0.43,0.0,0.88,-1.25,30.0,0.43,0.67,-0.11,-1.99
10,www.ebay.com_www.eglobalcentral.co.uk.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.26,0.55,0.04,-1.0,0.63,0.34,0.0,1.63,1.12,100.0,2.0,0.0,2.0,2.0,85.05,0.39,0.0,1.05,-0.59,91.58,0.46,0.27,0.21,-1.89,91.58,0.43,0.08,0.42,-1.68,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0
11,www.buzzillions.com_www.price-hunt.com.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.21,0.63,-0.04,-0.74,0.0,0.36,0.0,1.34,0.24,64.08,0.49,0.0,0.25,-1.95,37.68,0.42,0.0,1.03,-0.81,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,58.1,0.42,0.38,-0.02,-1.87
12,www.garricks.com.au_www.eglobalcentral.co.uk.csv,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,0.0,0.21,1.0,-1.19,0.5,0.0,0.46,1.0,-0.73,-1.47,100.0,2.0,1.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0,100.0,2.0,2.0,2.0,2.0
